disponibilidade_id,colaborador_id,data,turno_id,disponivel,tipo_disponibilidade,horas_disponiveis,motivo_indisponibilidade,tipo_indisponibilidade,comunicado_em,horas_antecedencia,ativo
D0084,C001,2025-01-28,T3,1,Total,9,,,,,1
D0085,C001,2025-01-29,T1,1,Total,7,,,,,1
D0086,C001,2025-01-29,T2,1,Parcial,4,consulta_medica,planeada,2025-01-17 18:06,283.9,1
D0087,C001,2025-01-29,T3,1,Total,9,,,,,1
D0088,C001,2025-01-30,T1,1,Total,7,,,,,1
D0089,C001,2025-01-30,T2,1,Total,8,,,,,1
D0090,C001,2025-01-30,T3,1,Total,9,,,,,1
D0091,C001,2025-01-31,T1,1,Total,7,,,,,1
D0092,C001,2025-01-31,T2,1,Total,8,,,,,1
D0093,C001,2025-01-31,T3,1,Total,9,,,,,1
D0094,C001,2025-02-01,T1,0,Indisponível,0,baixa,planeada,2025-01-13 13:36,449.4,1
D0095,C001,2025-02-01,T2,1,Total,8,,,,,1
D0096,C001,2025-02-01,T3,1,Total,9,,,,,1
D0097,C001,2025-02-02,T1,1,Total,7,,,,,1
D0098,C001,2025-02-02,T2,1,Total,8,,,,,1
D0099,C001,2025-02-02,T3,0,Indisponível,0,baixa,inesperada,2025-02-02 15:30,6.5,1
D0100,C001,2025-02-03,T1,1,Total,7,,,,,1
D0101,C001,2025-02-03,T2,0,Indisponível,0,restrição_noite,planeada,2025-01-14 04:48,489.2,1
D0102,C001,2025-02-03,T3,1,Total,9,,,,,1
D0103,C001,2025-02-04,T1,1,Total,7,,,,,1
D0104,C001,2025-02-04,T2,1,Parcial,4,consulta_medica,planeada,2025-01-28 00:06,181.9,1
D0105,C001,2025-02-04,T3,1,Total,9,,,,,1
D0106,C001,2025-02-05,T1,1,Total,7,,,,,1
D0107,C001,2025-02-05,T2,1,Total,8,,,,,1
D0108,C001,2025-02-05,T3,1,Total,9,,,,,1
D0109,C001,2025-02-06,T1,1,Total,7,,,,,1
D0110,C001,2025-02-06,T2,1,Total,8,,,,,1
D0111,C001,2025-02-06,T3,1,Total,9,,,,,1
D0112,C001,2025-02-07,T1,1,Total,7,,,,,1
D0113,C001,2025-02-07,T2,1,Total,8,,,,,1
D0114,C001,2025-02-07,T3,1,Total,9,,,,,1
D0115,C001,2025-02-08,T1,1,Total,7,,,,,1
D0116,C001,2025-02-08,T2,1,Total,8,,,,,1
D0117,C001,2025-02-08,T3,1,Total,9,,,,,1
D0118,C001,2025-02-09,T1,1,Total,7,,,,,1
D0119,C001,2025-02-09,T2,1,Total,8,,,,,1
D0120,C001,2025-02-09,T3,1,Parcial,4,formação,planeada,2025-02-04 07:48,134.2,1
D0121,C001,2025-02-10,T1,1,Parcial,4,consulta_medica,planeada,2025-01-31 07:18,239.7,1
D0122,C001,2025-02-10,T2,1,Total,8,,,,,1
D0123,C001,2025-02-10,T3,1,Total,9,,,,,1
D0124,C001,2025-02-11,T1,1,Total,7,,,,,1
D0125,C001,2025-02-11,T2,1,Total,8,,,,,1
D0126,C001,2025-02-11,T3,1,Total,9,,,,,1
D0127,C001,2025-02-12,T1,1,Parcial,4,preferencia_pessoal,planeada,2025-02-08 16:36,86.4,1
D0128,C001,2025-02-12,T2,1,Total,8,,,,,1
D0129,C001,2025-02-12,T3,1,Total,9,,,,,1
D0130,C001,2025-02-13,T1,0,Indisponível,0,folga,planeada,2025-01-16 11:42,667.3,1
D0131,C001,2025-02-13,T2,1,Total,8,,,,,1
D0132,C001,2025-02-13,T3,1,Total,9,,,,,1
D0133,C001,2025-02-14,T1,0,Indisponível,0,nao_autorizado_fds,planeada,2025-02-04 12:18,234.7,1
D0134,C001,2025-02-14,T2,1,Total,8,,,,,1
D0135,C001,2025-02-14,T3,1,Total,9,,,,,1
D0136,C001,2025-02-15,T1,1,Total,7,,,,,1
D0137,C001,2025-02-15,T2,1,Total,8,,,,,1
D0138,C001,2025-02-15,T3,1,Total,9,,,,,1
D0139,C001,2025-02-16,T1,1,Parcial,4,preferencia_pessoal,planeada,2025-02-08 04:18,194.7,1
D0140,C001,2025-02-16,T2,1,Total,8,,,,,1
D0141,C001,2025-02-16,T3,1,Total,9,,,,,1
D0142,C001,2025-02-17,T1,1,Total,7,,,,,1
D0143,C001,2025-02-17,T2,1,Total,8,,,,,1
D0144,C001,2025-02-17,T3,1,Total,9,,,,,1
D0145,C001,2025-02-18,T1,1,Total,7,,,,,1
D0146,C001,2025-02-18,T2,1,Total,8,,,,,1
D0147,C001,2025-02-18,T3,1,Total,9,,,,,1
D0148,C001,2025-02-19,T1,1,Total,7,,,,,1
D0149,C001,2025-02-19,T2,1,Total,8,,,,,1
D0150,C001,2025-02-19,T3,1,Parcial,4,consulta_medica,planeada,2025-02-16 06:48,87.2,1
D0151,C001,2025-02-20,T1,1,Total,7,,,,,1
D0152,C001,2025-02-20,T2,1,Total,8,,,,,1
D0153,C001,2025-02-20,T3,1,Total,9,,,,,1
D0154,C001,2025-02-21,T1,1,Total,7,,,,,1
D0155,C001,2025-02-21,T2,1,Total,8,,,,,1
D0156,C001,2025-02-21,T3,0,Indisponível,0,férias,planeada,2025-01-23 03:12,714.8,1
D0157,C001,2025-02-22,T1,1,Total,7,,,,,1
D0158,C001,2025-02-22,T2,1,Total,8,,,,,1
D0159,C001,2025-02-22,T3,1,Total,9,,,,,1
D0160,C001,2025-02-23,T1,1,Total,7,,,,,1
D0161,C001,2025-02-23,T2,1,Total,8,,,,,1
D0162,C001,2025-02-23,T3,1,Total,9,,,,,1
D0163,C001,2025-02-24,T1,1,Parcial,4,preferencia_pessoal,planeada,2025-02-13 00:24,270.6,1
D0164,C001,2025-02-24,T2,1,Parcial,4,preferencia_pessoal,planeada,2025-02-22 00:00,62.0,1
D0165,C001,2025-02-24,T3,1,Total,9,,,,,1
D0166,C001,2025-02-25,T1,1,Total,7,,,,,1
D0167,C001,2025-02-25,T2,1,Total,8,,,,,1
D0168,C001,2025-02-25,T3,1,Total,9,,,,,1
D0169,C001,2025-02-26,T1,1,Parcial,4,formação,planeada,2025-02-19 18:54,156.1,1
D0170,C001,2025-02-26,T2,1,Parcial,4,formação,planeada,2025-02-23 13:18,72.7,1
D0171,C001,2025-02-26,T3,1,Total,9,,,,,1
D0172,C001,2025-02-27,T1,1,Total,7,,,,,1
D0173,C001,2025-02-27,T2,1,Parcial,4,consulta_medica,planeada,2025-02-22 07:18,126.7,1
D0174,C001,2025-02-27,T3,1,Total,9,,,,,1
D0175,C001,2025-02-28,T1,1,Total,7,,,,,1
D0176,C001,2025-02-28,T2,1,Total,8,,,,,1
D0177,C001,2025-02-28,T3,0,Indisponível,0,férias,planeada,2025-02-05 10:18,563.7,1
D0178,C001,2025-03-01,T1,1,Total,7,,,,,1
D0179,C001,2025-03-01,T2,1,Total,8,,,,,1
D0180,C001,2025-03-01,T3,1,Total,9,,,,,1
D0181,C001,2025-03-02,T1,1,Total,7,,,,,1
D0182,C001,2025-03-02,T2,1,Total,8,,,,,1
D0183,C001,2025-03-02,T3,1,Total,9,,,,,1
D0184,C001,2025-03-03,T1,1,Total,7,,,,,1
D0185,C001,2025-03-03,T2,1,Total,8,,,,,1
D0186,C001,2025-03-03,T3,1,Total,9,,,,,1
D0187,C001,2025-03-04,T1,1,Total,7,,,,,1
D0188,C001,2025-03-04,T2,1,Total,8,,,,,1
D0189,C001,2025-03-04,T3,1,Total,9,,,,,1
D0190,C001,2025-03-05,T1,1,Total,7,,,,,1
D0191,C001,2025-03-05,T2,1,Total,8,,,,,1
D0192,C001,2025-03-05,T3,1,Total,9,,,,,1
D0193,C001,2025-03-06,T1,1,Total,7,,,,,1
D0194,C001,2025-03-06,T2,1,Total,8,,,,,1
D0195,C001,2025-03-06,T3,1,Total,9,,,,,1
D0196,C001,2025-03-07,T1,1,Total,7,,,,,1
D0197,C001,2025-03-07,T2,1,Total,8,,,,,1
D0198,C001,2025-03-07,T3,1,Total,9,,,,,1
D0199,C001,2025-03-08,T1,0,Indisponível,0,férias,planeada,2025-02-10 23:06,607.9,1
D0200,C001,2025-03-08,T2,1,Total,8,,,,,1
D0201,C001,2025-03-08,T3,1,Total,9,,,,,1
D0202,C001,2025-03-09,T1,1,Total,7,,,,,1
D0203,C001,2025-03-09,T2,1,Total,8,,,,,1
D0204,C001,2025-03-09,T3,1,Total,9,,,,,1
D0205,C001,2025-03-10,T1,1,Total,7,,,,,1
D0206,C001,2025-03-10,T2,1,Total,8,,,,,1
D0207,C001,2025-03-10,T3,1,Total,9,,,,,1
D0208,C001,2025-03-11,T1,1,Total,7,,,,,1
D0209,C001,2025-03-11,T2,1,Total,8,,,,,1
D0210,C001,2025-03-11,T3,1,Total,9,,,,,1
D0211,C001,2025-03-12,T1,1,Total,7,,,,,1
D0212,C001,2025-03-12,T2,1,Total,8,,,,,1
D0213,C001,2025-03-12,T3,1,Total,9,,,,,1
D0214,C001,2025-03-13,T1,1,Total,7,,,,,1
D0215,C001,2025-03-13,T2,1,Total,8,,,,,1
D0216,C001,2025-03-13,T3,1,Total,9,,,,,1
D0217,C001,2025-03-14,T1,1,Total,7,,,,,1
D0218,C001,2025-03-14,T2,1,Total,8,,,,,1
D0219,C001,2025-03-14,T3,1,Total,9,,,,,1
D0220,C001,2025-03-15,T1,1,Total,7,,,,,1
D0221,C001,2025-03-15,T2,1,Total,8,,,,,1
D0222,C001,2025-03-15,T3,1,Total,9,,,,,1
D0223,C001,2025-03-16,T1,1,Total,7,,,,,1
D0224,C001,2025-03-16,T2,1,Total,8,,,,,1
D0225,C001,2025-03-16,T3,1,Total,9,,,,,1
D0226,C001,2025-03-17,T1,1,Total,7,,,,,1
D0227,C001,2025-03-17,T2,0,Indisponível,0,consulta_medica,planeada,2025-03-10 21:36,160.4,1
D0228,C001,2025-03-17,T3,1,Total,9,,,,,1
D0229,C001,2025-03-18,T1,1,Total,7,,,,,1
D0230,C001,2025-03-18,T2,1,Parcial,4,consulta_medica,planeada,2025-03-09 00:00,230.0,1
D0231,C001,2025-03-18,T3,1,Total,9,,,,,1
D0232,C001,2025-03-19,T1,1,Total,7,,,,,1
D0233,C001,2025-03-19,T2,1,Total,8,,,,,1
D0234,C001,2025-03-19,T3,1,Total,9,,,,,1
D0235,C001,2025-03-20,T1,1,Total,7,,,,,1
D0236,C001,2025-03-20,T2,1,Parcial,4,preferencia_pessoal,planeada,2025-03-12 05:24,200.6,1
D0237,C001,2025-03-20,T3,1,Total,9,,,,,1
D0238,C001,2025-03-21,T1,1,Total,7,,,,,1
D0239,C001,2025-03-21,T2,1,Total,8,,,,,1
D0240,C001,2025-03-21,T3,1,Total,9,,,,,1
D0241,C001,2025-03-22,T1,1,Total,7,,,,,1
D0242,C001,2025-03-22,T2,1,Total,8,,,,,1
D0243,C001,2025-03-22,T3,1,Total,9,,,,,1
D0244,C001,2025-03-23,T1,1,Total,7,,,,,1
D0245,C001,2025-03-23,T2,1,Total,8,,,,,1
D0246,C001,2025-03-23,T3,1,Parcial,4,formação,planeada,2025-03-14 12:54,225.1,1
D0247,C001,2025-03-24,T1,1,Total,7,,,,,1
D0248,C001,2025-03-24,T2,1,Total,8,,,,,1
D0249,C001,2025-03-24,T3,1,Total,9,,,,,1
D0250,C001,2025-03-25,T1,1,Total,7,,,,,1
D0251,C001,2025-03-25,T2,1,Total,8,,,,,1
D0252,C001,2025-03-25,T3,1,Total,9,,,,,1
D0253,C001,2025-03-26,T1,1,Total,7,,,,,1
D0254,C001,2025-03-26,T2,1,Total,8,,,,,1
D0255,C001,2025-03-26,T3,1,Parcial,4,preferencia_pessoal,planeada,2025-03-22 22:12,95.8,1
D0256,C001,2025-03-27,T1,1,Total,7,,,,,1
D0257,C001,2025-03-27,T2,1,Total,8,,,,,1
D0258,C001,2025-03-27,T3,1,Total,9,,,,,1
D0259,C001,2025-03-28,T1,1,Total,7,,,,,1
D0260,C001,2025-03-28,T2,1,Total,8,,,,,1
D0261,C001,2025-03-28,T3,1,Total,9,,,,,1
D0262,C001,2025-03-29,T1,1,Total,7,,,,,1
D0263,C001,2025-03-29,T2,1,Total,8,,,,,1
D0264,C001,2025-03-29,T3,1,Total,9,,,,,1
D0265,C001,2025-03-30,T1,1,Total,7,,,,,1
D0266,C001,2025-03-30,T2,1,Total,8,,,,,1
D0267,C001,2025-03-30,T3,1,Total,9,,,,,1
D0268,C001,2025-03-31,T1,1,Total,7,,,,,1
D0269,C001,2025-03-31,T2,1,Parcial,4,formação,planeada,2025-03-26 09:06,124.9,1
D0270,C001,2025-03-31,T3,1,Total,9,,,,,1
D0271,C001,2025-04-01,T1,1,Total,7,,,,,1
D0272,C001,2025-04-01,T2,1,Total,8,,,,,1
D0273,C001,2025-04-01,T3,1,Total,9,,,,,1
D0274,C001,2025-04-02,T1,1,Total,7,,,,,1
D0275,C001,2025-04-02,T2,1,Total,8,,,,,1
D0276,C001,2025-04-02,T3,1,Total,9,,,,,1
D0277,C001,2025-04-03,T1,1,Total,7,,,,,1
D0278,C001,2025-04-03,T2,1,Total,8,,,,,1
D0279,C001,2025-04-03,T3,1,Parcial,4,preferencia_pessoal,planeada,2025-03-25 16:06,221.9,1
D0280,C001,2025-04-04,T1,1,Total,7,,,,,1
D0281,C001,2025-04-04,T2,1,Total,8,,,,,1
D0282,C001,2025-04-04,T3,1,Total,9,,,,,1
D0283,C001,2025-04-05,T1,1,Total,7,,,,,1
D0284,C001,2025-04-05,T2,1,Total,8,,,,,1
D0285,C001,2025-04-05,T3,1,Total,9,,,,,1
D0286,C001,2025-04-06,T1,1,Total,7,,,,,1
D0287,C001,2025-04-06,T2,1,Total,8,,,,,1
D0288,C001,2025-04-06,T3,1,Total,9,,,,,1
D0289,C001,2025-04-07,T1,1,Total,7,,,,,1
D0290,C001,2025-04-07,T2,1,Total,8,,,,,1
D0291,C001,2025-04-07,T3,1,Total,9,,,,,1
D0292,C001,2025-04-08,T1,1,Total,7,,,,,1
D0293,C001,2025-04-08,T2,1,Total,8,,,,,1
D0294,C001,2025-04-08,T3,1,Total,9,,,,,1
D0295,C001,2025-04-09,T1,1,Total,7,,,,,1
D0296,C001,2025-04-09,T2,1,Total,8,,,,,1
D0297,C001,2025-04-09,T3,0,Indisponível,0,folga,planeada,2025-04-01 04:54,209.1,1
D0298,C001,2025-04-10,T1,1,Total,7,,,,,1
D0299,C001,2025-04-10,T2,1,Total,8,,,,,1
D0300,C001,2025-04-10,T3,1,Total,9,,,,,1
D0301,C001,2025-04-11,T1,1,Total,7,,,,,1
D0302,C001,2025-04-11,T2,1,Total,8,,,,,1
D0303,C001,2025-04-11,T3,1,Total,9,,,,,1
D0304,C001,2025-04-12,T1,1,Total,7,,,,,1
D0305,C001,2025-04-12,T2,1,Parcial,4,preferencia_pessoal,planeada,2025-04-04 23:00,183.0,1
D0306,C001,2025-04-12,T3,1,Total,9,,,,,1
D0307,C001,2025-04-13,T1,1,Total,7,,,,,1
D0308,C001,2025-04-13,T2,1,Total,8,,,,,1
D0309,C001,2025-04-13,T3,1,Parcial,4,preferencia_pessoal,planeada,2025-04-02 00:06,285.9,1
D0310,C001,2025-04-14,T1,1,Total,7,,,,,1
D0311,C001,2025-04-14,T2,1,Total,8,,,,,1
D0312,C001,2025-04-14,T3,1,Total,9,,,,,1
D0313,C001,2025-04-15,T1,1,Total,7,,,,,1
D0314,C001,2025-04-15,T2,1,Total,8,,,,,1
D0315,C001,2025-04-15,T3,1,Total,9,,,,,1
D0316,C001,2025-04-16,T1,1,Total,7,,,,,1
D0317,C001,2025-04-16,T2,1,Total,8,,,,,1
D0318,C001,2025-04-16,T3,1,Parcial,4,preferencia_pessoal,planeada,2025-04-07 01:18,236.7,1
D0319,C001,2025-04-17,T1,1,Total,7,,,,,1
D0320,C001,2025-04-17,T2,1,Total,8,,,,,1
D0321,C001,2025-04-17,T3,1,Total,9,,,,,1
D0322,C001,2025-04-18,T1,1,Total,7,,,,,1
D0323,C001,2025-04-18,T2,1,Total,8,,,,,1
D0324,C001,2025-04-18,T3,1,Total,9,,,,,1
D0325,C001,2025-04-19,T1,1,Total,7,,,,,1
D0326,C001,2025-04-19,T2,1,Total,8,,,,,1
D0327,C001,2025-04-19,T3,1,Total,9,,,,,1
D0328,C001,2025-04-20,T1,1,Total,7,,,,,1
D0329,C001,2025-04-20,T2,1,Total,8,,,,,1
D0330,C001,2025-04-20,T3,1,Total,9,,,,,1
D0331,C001,2025-04-21,T1,1,Total,7,,,,,1
D0332,C001,2025-04-21,T2,1,Total,8,,,,,1
D0333,C001,2025-04-21,T3,1,Total,9,,,,,1
D0334,C001,2025-04-22,T1,1,Total,7,,,,,1
D0335,C001,2025-04-22,T2,1,Total,8,,,,,1
D0336,C001,2025-04-22,T3,1,Total,9,,,,,1
D0337,C001,2025-04-23,T1,1,Total,7,,,,,1
D0338,C001,2025-04-23,T2,1,Total,8,,,,,1
D0339,C001,2025-04-23,T3,1,Total,9,,,,,1
D0340,C001,2025-04-24,T1,1,Total,7,,,,,1
D0341,C001,2025-04-24,T2,1,Total,8,,,,,1
D0342,C001,2025-04-24,T3,1,Total,9,,,,,1
D0343,C001,2025-04-25,T1,1,Total,7,,,,,1
D0344,C001,2025-04-25,T2,1,Total,8,,,,,1
D0345,C001,2025-04-25,T3,1,Total,9,,,,,1
D0346,C001,2025-04-26,T1,1,Total,7,,,,,1
D0347,C001,2025-04-26,T2,1,Total,8,,,,,1
D0348,C001,2025-04-26,T3,0,Indisponível,0,folga,planeada,2025-04-17 21:36,216.4,1
D0349,C001,2025-04-27,T1,1,Total,7,,,,,1
D0350,C001,2025-04-27,T2,1,Total,8,,,,,1
D0351,C001,2025-04-27,T3,1,Total,9,,,,,1
D0352,C001,2025-04-28,T1,1,Total,7,,,,,1
D0353,C001,2025-04-28,T2,1,Total,8,,,,,1
D0354,C001,2025-04-28,T3,1,Total,9,,,,,1
D0355,C001,2025-04-29,T1,1,Total,7,,,,,1
D0356,C001,2025-04-29,T2,1,Total,8,,,,,1
D0357,C001,2025-04-29,T3,1,Total,9,,,,,1
D0358,C001,2025-04-30,T1,1,Total,7,,,,,1
D0359,C001,2025-04-30,T2,1,Total,8,,,,,1
D0360,C001,2025-04-30,T3,1,Total,9,,,,,1
D0361,C001,2025-05-01,T1,1,Total,7,,,,,1
D0362,C001,2025-05-01,T2,1,Total,8,,,,,1
D0363,C001,2025-05-01,T3,1,Total,9,,,,,1
D0364,C001,2025-05-02,T1,1,Total,7,,,,,1
D0365,C001,2025-05-02,T2,1,Total,8,,,,,1
D0366,C001,2025-05-02,T3,1,Total,9,,,,,1
D0367,C001,2025-05-03,T1,1,Total,7,,,,,1
D0368,C001,2025-05-03,T2,0,Indisponível,0,férias,planeada,2025-04-07 15:36,622.4,1
D0369,C001,2025-05-03,T3,1,Parcial,4,consulta_medica,planeada,2025-04-22 22:42,263.3,1
D0370,C001,2025-05-04,T1,1,Total,7,,,,,1
D0371,C001,2025-05-04,T2,1,Total,8,,,,,1
D0372,C001,2025-05-04,T3,1,Total,9,,,,,1
D0373,C001,2025-05-05,T1,1,Total,7,,,,,1
D0374,C001,2025-05-05,T2,1,Total,8,,,,,1
D0375,C001,2025-05-05,T3,1,Total,9,,,,,1
D0376,C001,2025-05-06,T1,1,Total,7,,,,,1
D0377,C001,2025-05-06,T2,1,Total,8,,,,,1
D0378,C001,2025-05-06,T3,1,Total,9,,,,,1
D0379,C001,2025-05-07,T1,1,Total,7,,,,,1
D0380,C001,2025-05-07,T2,1,Total,8,,,,,1
D0381,C001,2025-05-07,T3,1,Total,9,,,,,1
D0382,C001,2025-05-08,T1,1,Total,7,,,,,1
D0383,C001,2025-05-08,T2,1,Total,8,,,,,1
D0384,C001,2025-05-08,T3,1,Total,9,,,,,1
D0385,C001,2025-05-09,T1,1,Total,7,,,,,1
D0386,C001,2025-05-09,T2,1,Total,8,,,,,1
D0387,C001,2025-05-09,T3,1,Total,9,,,,,1
D0388,C001,2025-05-10,T1,1,Total,7,,,,,1
D0389,C001,2025-05-10,T2,1,Total,8,,,,,1
D0390,C001,2025-05-10,T3,1,Total,9,,,,,1
D0391,C001,2025-05-11,T1,1,Total,7,,,,,1
D0392,C001,2025-05-11,T2,1,Total,8,,,,,1
D0393,C001,2025-05-11,T3,1,Total,9,,,,,1
D0394,C001,2025-05-12,T1,1,Parcial,4,consulta_medica,planeada,2025-04-30 02:06,292.9,1
D0395,C001,2025-05-12,T2,1,Total,8,,,,,1
D0396,C001,2025-05-12,T3,1,Total,9,,,,,1
D0397,C001,2025-05-13,T1,1,Total,7,,,,,1
D0398,C001,2025-05-13,T2,1,Total,8,,,,,1
D0399,C001,2025-05-13,T3,1,Total,9,,,,,1
D0400,C001,2025-05-14,T1,1,Total,7,,,,,1
D0401,C001,2025-05-14,T2,1,Total,8,,,,,1
D0402,C001,2025-05-14,T3,1,Total,9,,,,,1
D0403,C001,2025-05-15,T1,1,Total,7,,,,,1
D0404,C001,2025-05-15,T2,1,Total,8,,,,,1
D0405,C001,2025-05-15,T3,1,Total,9,,,,,1
D0406,C001,2025-05-16,T1,1,Parcial,4,preferencia_pessoal,planeada,2025-05-10 08:30,142.5,1
D0407,C001,2025-05-16,T2,1,Total,8,,,,,1
D0408,C001,2025-05-16,T3,1,Total,9,,,,,1
D0409,C001,2025-05-17,T1,1,Total,7,,,,,1
D0410,C001,2025-05-17,T2,1,Total,8,,,,,1
D0411,C001,2025-05-17,T3,1,Total,9,,,,,1
D0412,C001,2025-05-18,T1,0,Indisponível,0,consulta_medica,planeada,2025-04-26 05:30,529.5,1
D0413,C001,2025-05-18,T2,1,Total,8,,,,,1
D0414,C001,2025-05-18,T3,1,Total,9,,,,,1
D0415,C001,2025-05-19,T1,1,Total,7,,,,,1
D0416,C001,2025-05-19,T2,1,Parcial,4,formação,planeada,2025-05-16 03:24,82.6,1
D0417,C001,2025-05-19,T3,1,Total,9,,,,,1
D0418,C001,2025-05-20,T1,1,Total,7,,,,,1
D0419,C001,2025-05-20,T2,1,Total,8,,,,,1
D0420,C001,2025-05-20,T3,1,Total,9,,,,,1
D0421,C001,2025-05-21,T1,1,Total,7,,,,,1
D0422,C001,2025-05-21,T2,1,Total,8,,,,,1
D0423,C001,2025-05-21,T3,1,Total,9,,,,,1
D0424,C001,2025-05-22,T1,1,Total,7,,,,,1
D0425,C001,2025-05-22,T2,1,Total,8,,,,,1
D0426,C001,2025-05-22,T3,1,Total,9,,,,,1
