data,dia_semana,departamento,funcao,turno_id,colaboradores_minimos,colaboradores_ideais,origem_necessidade
2025-01-14,Terça,Housekeeping,Auxiliar de limpeza,T3,1,1,previsão
2025-01-15,Quarta,Housekeeping,Empregada de andares,T1,4,4,histórico
2025-01-15,Quarta,Housekeeping,Supervisora,T1,2,2,histórico
2025-01-15,Quarta,Housekeeping,Auxiliar de limpeza,T1,1,1,histórico
2025-01-15,Quarta,Housekeeping,Empregada de andares,T2,2,2,manual
2025-01-15,Quarta,Housekeeping,Supervisora,T2,1,1,manual
2025-01-15,Quarta,Housekeeping,Auxiliar de limpeza,T2,1,1,manual
2025-01-15,Quarta,Housekeeping,Empregada de andares,T3,2,2,histórico
2025-01-15,Quarta,Housekeeping,Supervisora,T3,1,1,histórico
2025-01-15,Quarta,Housekeeping,Auxiliar de limpeza,T3,1,1,histórico
2025-01-16,Quinta,Housekeeping,Empregada de andares,T1,3,4,manual
2025-01-16,Quinta,Housekeeping,Supervisora,T1,1,2,manual
2025-01-16,Quinta,Housekeeping,Auxiliar de limpeza,T1,1,1,manual
2025-01-16,Quinta,Housekeeping,Empregada de andares,T2,2,2,histórico
2025-01-16,Quinta,Housekeeping,Supervisora,T2,1,1,histórico
2025-01-16,Quinta,Housekeeping,Auxiliar de limpeza,T2,1,1,histórico
2025-01-16,Quinta,Housekeeping,Empregada de andares,T3,1,1,histórico
2025-01-16,Quinta,Housekeeping,Supervisora,T3,1,1,histórico
2025-01-16,Quinta,Housekeeping,Auxiliar de limpeza,T3,1,1,histórico
2025-01-17,Sexta,Housekeeping,Empregada de andares,T1,3,4,histórico
2025-01-17,Sexta,Housekeeping,Supervisora,T1,1,2,histórico
2025-01-17,Sexta,Housekeeping,Auxiliar de limpeza,T1,1,1,histórico
2025-01-17,Sexta,Housekeeping,Empregada de andares,T2,2,3,previsão
2025-01-17,Sexta,Housekeeping,Supervisora,T2,1,1,previsão
2025-01-17,Sexta,Housekeeping,Auxiliar de limpeza,T2,1,1,previsão
2025-01-17,Sexta,Housekeeping,Empregada de andares,T3,1,2,histórico
2025-01-17,Sexta,Housekeeping,Supervisora,T3,1,1,histórico
2025-01-17,Sexta,Housekeeping,Auxiliar de limpeza,T3,1,1,histórico
2025-01-18,Sábado,Housekeeping,Empregada de andares,T1,5,6,previsão
2025-01-18,Sábado,Housekeeping,Supervisora,T1,2,2,previsão
2025-01-18,Sábado,Housekeeping,Auxiliar de limpeza,T1,1,2,previsão
2025-01-18,Sábado,Housekeeping,Empregada de andares,T2,3,3,histórico
2025-01-18,Sábado,Housekeeping,Supervisora,T2,1,2,histórico
2025-01-18,Sábado,Housekeeping,Auxiliar de limpeza,T2,1,1,histórico
2025-01-18,Sábado,Housekeeping,Empregada de andares,T3,2,2,histórico
2025-01-18,Sábado,Housekeeping,Supervisora,T3,1,1,histórico
2025-01-18,Sábado,Housekeeping,Auxiliar de limpeza,T3,1,1,histórico
2025-01-19,Domingo,Housekeeping,Empregada de andares,T1,5,5,histórico
2025-01-19,Domingo,Housekeeping,Supervisora,T1,2,2,histórico
2025-01-19,Domingo,Housekeeping,Auxiliar de limpeza,T1,1,1,histórico
2025-01-19,Domingo,Housekeeping,Empregada de andares,T2,2,2,histórico
2025-01-19,Domingo,Housekeeping,Supervisora,T2,1,1,histórico
2025-01-19,Domingo,Housekeeping,Auxiliar de limpeza,T2,1,1,histórico
2025-01-19,Domingo,Housekeeping,Empregada de andares,T3,1,1,previsão
2025-01-19,Domingo,Housekeeping,Supervisora,T3,1,1,previsão
2025-01-19,Domingo,Housekeeping,Auxiliar de limpeza,T3,1,1,previsão
2025-01-20,Segunda,Housekeeping,Empregada de andares,T1,3,4,histórico
2025-01-20,Segunda,Housekeeping,Supervisora,T1,1,2,histórico
2025-01-20,Segunda,Housekeeping,Auxiliar de limpeza,T1,1,1,histórico
2025-01-20,Segunda,Housekeeping,Empregada de andares,T2,2,2,previsão
2025-01-20,Segunda,Housekeeping,Supervisora,T2,1,1,previsão
2025-01-20,Segunda,Housekeeping,Auxiliar de limpeza,T2,1,1,previsão
2025-01-20,Segunda,Housekeeping,Empregada de andares,T3,2,2,previsão
2025-01-20,Segunda,Housekeeping,Supervisora,T3,1,1,previsão
2025-01-20,Segunda,Housekeeping,Auxiliar de limpeza,T3,1,1,previsão
2025-01-21,Terça,Housekeeping,Empregada de andares,T1,4,4,previsão
2025-01-21,Terça,Housekeeping,Supervisora,T1,2,2,previsão
2025-01-21,Terça,Housekeeping,Auxiliar de limpeza,T1,1,1,previsão
2025-01-21,Terça,Housekeeping,Empregada de andares,T2,3,3,histórico
2025-01-21,Terça,Housekeeping,Supervisora,T2,1,2,histórico
2025-01-21,Terça,Housekeeping,Auxiliar de limpeza,T2,1,1,histórico
2025-01-21,Terça,Housekeeping,Empregada de andares,T3,2,2,histórico
2025-01-21,Terça,Housekeeping,Supervisora,T3,1,1,histórico
2025-01-21,Terça,Housekeeping,Auxiliar de limpeza,T3,1,1,histórico
2025-01-22,Quarta,Housekeeping,Empregada de andares,T1,3,4,manual
2025-01-22,Quarta,Housekeeping,Supervisora,T1,1,2,manual
2025-01-22,Quarta,Housekeeping,Auxiliar de limpeza,T1,1,1,manual
2025-01-22,Quarta,Housekeeping,Empregada de andares,T2,2,3,histórico
2025-01-22,Quarta,Housekeeping,Supervisora,T2,1,1,histórico
2025-01-22,Quarta,Housekeeping,Auxiliar de limpeza,T2,1,1,histórico
2025-01-22,Quarta,Housekeeping,Empregada de andares,T3,1,1,manual
2025-01-22,Quarta,Housekeeping,Supervisora,T3,1,1,manual
2025-01-22,Quarta,Housekeeping,Auxiliar de limpeza,T3,1,1,manual
2025-01-23,Quinta,Housekeeping,Empregada de andares,T1,3,4,histórico
2025-01-23,Quinta,Housekeeping,Supervisora,T1,1,2,histórico
2025-01-23,Quinta,Housekeeping,Auxiliar de limpeza,T1,1,1,histórico
2025-01-23,Quinta,Housekeeping,Empregada de andares,T2,2,3,previsão
2025-01-23,Quinta,Housekeeping,Supervisora,T2,1,1,previsão
2025-01-23,Quinta,Housekeeping,Auxiliar de limpeza,T2,1,1,previsão
2025-01-23,Quinta,Housekeeping,Empregada de andares,T3,1,2,histórico
2025-01-23,Quinta,Housekeeping,Supervisora,T3,1,1,histórico
2025-01-23,Quinta,Housekeeping,Auxiliar de limpeza,T3,1,1,histórico
2025-01-24,Sexta,Housekeeping,Empregada de andares,T1,4,4,histórico
2025-01-24,Sexta,Housekeeping,Supervisora,T1,2,2,histórico
2025-01-24,Sexta,Housekeeping,Auxiliar de limpeza,T1,1,1,histórico
2025-01-24,Sexta,Housekeeping,Empregada de andares,T2,2,2,manual
2025-01-24,Sexta,Housekeeping,Supervisora,T2,1,1,manual
2025-01-24,Sexta,Housekeeping,Auxiliar de limpeza,T2,1,1,manual
2025-01-24,Sexta,Housekeeping,Empregada de andares,T3,2,2,histórico
2025-01-24,Sexta,Housekeeping,Supervisora,T3,1,1,histórico
2025-01-24,Sexta,Housekeeping,Auxiliar de limpeza,T3,1,1,histórico
2025-01-25,Sábado,Housekeeping,Empregada de andares,T1,5,6,manual
2025-01-25,Sábado,Housekeeping,Supervisora,T1,2,2,manual
2025-01-25,Sábado,Housekeeping,Auxiliar de limpeza,T1,1,2,manual
2025-01-25,Sábado,Housekeeping,Empregada de andares,T2,2,3,histórico
2025-01-25,Sábado,Housekeeping,Supervisora,T2,1,1,histórico
2025-01-25,Sábado,Housekeeping,Auxiliar de limpeza,T2,1,1,histórico
2025-01-25,Sábado,Housekeeping,Empregada de andares,T3,1,1,histórico
2025-01-25,Sábado,Housekeeping,Supervisora,T3,1,1,histórico
2025-01-25,Sábado,Housekeeping,Auxiliar de limpeza,T3,1,1,histórico
2025-01-26,Domingo,Housekeeping,Empregada de andares,T1,4,5,previsão
2025-01-26,Domingo,Housekeeping,Supervisora,T1,2,2,previsão
2025-01-26,Domingo,Housekeeping,Auxiliar de limpeza,T1,1,1,previsão
2025-01-26,Domingo,Housekeeping,Empregada de andares,T2,2,2,histórico
2025-01-26,Domingo,Housekeeping,Supervisora,T2,1,1,histórico
2025-01-26,Domingo,Housekeeping,Auxiliar de limpeza,T2,1,1,histórico
2025-01-26,Domingo,Housekeeping,Empregada de andares,T3,1,1,histórico
2025-01-26,Domingo,Housekeeping,Supervisora,T3,1,1,histórico
2025-01-26,Domingo,Housekeeping,Auxiliar de limpeza,T3,1,1,histórico
2025-01-27,Segunda,Housekeeping,Empregada de andares,T1,4,5,previsão
2025-01-27,Segunda,Housekeeping,Supervisora,T1,2,2,previsão
2025-01-27,Segunda,Housekeeping,Auxiliar de limpeza,T1,1,1,previsão
2025-01-27,Segunda,Housekeeping,Empregada de andares,T2,3,3,histórico
2025-01-27,Segunda,Housekeeping,Supervisora,T2,1,2,histórico
2025-01-27,Segunda,Housekeeping,Auxiliar de limpeza,T2,1,1,histórico
2025-01-27,Segunda,Housekeeping,Empregada de andares,T3,1,2,histórico
2025-01-27,Segunda,Housekeeping,Supervisora,T3,1,1,histórico
2025-01-27,Segunda,Housekeeping,Auxiliar de limpeza,T3,1,1,histórico
2025-01-28,Terça,Housekeeping,Empregada de andares,T1,4,5,previsão
2025-01-28,Terça,Housekeeping,Supervisora,T1,2,2,previsão
2025-01-28,Terça,Housekeeping,Auxiliar de limpeza,T1,1,1,previsão
2025-01-28,Terça,Housekeeping,Empregada de andares,T2,2,2,histórico
2025-01-28,Terça,Housekeeping,Supervisora,T2,1,1,histórico
2025-01-28,Terça,Housekeeping,Auxiliar de limpeza,T2,1,1,histórico
2025-01-28,Terça,Housekeeping,Empregada de andares,T3,1,1,histórico
2025-01-28,Terça,Housekeeping,Supervisora,T3,1,1,histórico
2025-01-28,Terça,Housekeeping,Auxiliar de limpeza,T3,1,1,histórico
2025-01-29,Quarta,Housekeeping,Empregada de andares,T1,3,4,previsão
2025-01-29,Quarta,Housekeeping,Supervisora,T1,1,2,previsão
2025-01-29,Quarta,Housekeeping,Auxiliar de limpeza,T1,1,1,previsão
2025-01-29,Quarta,Housekeeping,Empregada de andares,T2,2,3,histórico
2025-01-29,Quarta,Housekeeping,Supervisora,T2,1,1,histórico
2025-01-29,Quarta,Housekeeping,Auxiliar de limpeza,T2,1,1,histórico
2025-01-29,Quarta,Housekeeping,Empregada de andares,T3,1,2,histórico
2025-01-29,Quarta,Housekeeping,Supervisora,T3,1,1,histórico
2025-01-29,Quarta,Housekeeping,Auxiliar de limpeza,T3,1,1,histórico
2025-01-30,Quinta,Housekeeping,Empregada de andares,T1,4,5,histórico
2025-01-30,Quinta,Housekeeping,Supervisora,T1,2,2,histórico
2025-01-30,Quinta,Housekeeping,Auxiliar de limpeza,T1,1,1,histórico
2025-01-30,Quinta,Housekeeping,Empregada de andares,T2,2,3,previsão
2025-01-30,Quinta,Housekeeping,Supervisora,T2,1,1,previsão
2025-01-30,Quinta,Housekeeping,Auxiliar de limpeza,T2,1,1,previsão
2025-01-30,Quinta,Housekeeping,Empregada de andares,T3,2,2,previsão
2025-01-30,Quinta,Housekeeping,Supervisora,T3,1,1,previsão
2025-01-30,Quinta,Housekeeping,Auxiliar de limpeza,T3,1,1,previsão
2025-01-31,Sexta,Housekeeping,Empregada de andares,T1,3,4,histórico
2025-01-31,Sexta,Housekeeping,Supervisora,T1,1,2,histórico
2025-01-31,Sexta,Housekeeping,Auxiliar de limpeza,T1,1,1,histórico
2025-01-31,Sexta,Housekeeping,Empregada de andares,T2,2,2,previsão
2025-01-31,Sexta,Housekeeping,Supervisora,T2,1,1,previsão
2025-01-31,Sexta,Housekeeping,Auxiliar de limpeza,T2,1,1,previsão
2025-01-31,Sexta,Housekeeping,Empregada de andares,T3,1,2,previsão
2025-01-31,Sexta,Housekeeping,Supervisora,T3,1,1,previsão
2025-01-31,Sexta,Housekeeping,Auxiliar de limpeza,T3,1,1,previsão
2025-02-01,Sábado,Housekeeping,Empregada de andares,T1,4,5,previsão
2025-02-01,Sábado,Housekeeping,Supervisora,T1,2,2,previsão
2025-02-01,Sábado,Housekeeping,Auxiliar de limpeza,T1,1,1,previsão
2025-02-01,Sábado,Housekeeping,Empregada de andares,T2,3,3,previsão
2025-02-01,Sábado,Housekeeping,Supervisora,T2,1,2,previsão
2025-02-01,Sábado,Housekeeping,Auxiliar de limpeza,T2,1,1,previsão
2025-02-01,Sábado,Housekeeping,Empregada de andares,T3,1,2,previsão
2025-02-01,Sábado,Housekeeping,Supervisora,T3,1,1,previsão
2025-02-01,Sábado,Housekeeping,Auxiliar de limpeza,T3,1,1,previsão
2025-02-02,Domingo,Housekeeping,Empregada de andares,T1,4,5,histórico
2025-02-02,Domingo,Housekeeping,Supervisora,T1,2,2,histórico
2025-02-02,Domingo,Housekeeping,Auxiliar de limpeza,T1,1,1,histórico
2025-02-02,Domingo,Housekeeping,Empregada de andares,T2,2,3,histórico
2025-02-02,Domingo,Housekeeping,Supervisora,T2,1,1,histórico
2025-02-02,Domingo,Housekeeping,Auxiliar de limpeza,T2,1,1,histórico
2025-02-02,Domingo,Housekeeping,Empregada de andares,T3,2,2,histórico
2025-02-02,Domingo,Housekeeping,Supervisora,T3,1,1,histórico
2025-02-02,Domingo,Housekeeping,Auxiliar de limpeza,T3,1,1,histórico
2025-02-03,Segunda,Housekeeping,Empregada de andares,T1,4,5,previsão
2025-02-03,Segunda,Housekeeping,Supervisora,T1,2,2,previsão
2025-02-03,Segunda,Housekeeping,Auxiliar de limpeza,T1,1,1,previsão
2025-02-03,Segunda,Housekeeping,Empregada de andares,T2,2,2,previsão
2025-02-03,Segunda,Housekeeping,Supervisora,T2,1,1,previsão
2025-02-03,Segunda,Housekeeping,Auxiliar de limpeza,T2,1,1,previsão
2025-02-03,Segunda,Housekeeping,Empregada de andares,T3,1,2,previsão
2025-02-03,Segunda,Housekeeping,Supervisora,T3,1,1,previsão
2025-02-03,Segunda,Housekeeping,Auxiliar de limpeza,T3,1,1,previsão
2025-02-04,Terça,Housekeeping,Empregada de andares,T1,4,4,manual
2025-02-04,Terça,Housekeeping,Supervisora,T1,2,2,manual
2025-02-04,Terça,Housekeeping,Auxiliar de limpeza,T1,1,1,manual
2025-02-04,Terça,Housekeeping,Empregada de andares,T2,3,3,histórico
2025-02-04,Terça,Housekeeping,Supervisora,T2,1,2,histórico
2025-02-04,Terça,Housekeeping,Auxiliar de limpeza,T2,1,1,histórico
2025-02-04,Terça,Housekeeping,Empregada de andares,T3,2,2,histórico
2025-02-04,Terça,Housekeeping,Supervisora,T3,1,1,histórico
2025-02-04,Terça,Housekeeping,Auxiliar de limpeza,T3,1,1,histórico
2025-02-05,Quarta,Housekeeping,Empregada de andares,T1,4,4,histórico
2025-02-05,Quarta,Housekeeping,Supervisora,T1,2,2,histórico
2025-02-05,Quarta,Housekeeping,Auxiliar de limpeza,T1,1,1,histórico
2025-02-05,Quarta,Housekeeping,Empregada de andares,T2,3,3,previsão
2025-02-05,Quarta,Housekeeping,Supervisora,T2,1,2,previsão
2025-02-05,Quarta,Housekeeping,Auxiliar de limpeza,T2,1,1,previsão
2025-02-05,Quarta,Housekeeping,Empregada de andares,T3,2,2,previsão
2025-02-05,Quarta,Housekeeping,Supervisora,T3,1,1,previsão
2025-02-05,Quarta,Housekeeping,Auxiliar de limpeza,T3,1,1,previsão
2025-02-06,Quinta,Housekeeping,Empregada de andares,T1,3,4,histórico
2025-02-06,Quinta,Housekeeping,Supervisora,T1,1,2,histórico
2025-02-06,Quinta,Housekeeping,Auxiliar de limpeza,T1,1,1,histórico
2025-02-06,Quinta,Housekeeping,Empregada de andares,T2,2,2,histórico
2025-02-06,Quinta,Housekeeping,Supervisora,T2,1,1,histórico
2025-02-06,Quinta,Housekeeping,Auxiliar de limpeza,T2,1,1,histórico
2025-02-06,Quinta,Housekeeping,Empregada de andares,T3,2,2,histórico
2025-02-06,Quinta,Housekeeping,Supervisora,T3,1,1,histórico
2025-02-06,Quinta,Housekeeping,Auxiliar de limpeza,T3,1,1,histórico
2025-02-07,Sexta,Housekeeping,Empregada de andares,T1,4,5,histórico
2025-02-07,Sexta,Housekeeping,Supervisora,T1,2,2,histórico
2025-02-07,Sexta,Housekeeping,Auxiliar de limpeza,T1,1,1,histórico
2025-02-07,Sexta,Housekeeping,Empregada de andares,T2,2,2,histórico
2025-02-07,Sexta,Housekeeping,Supervisora,T2,1,1,histórico
2025-02-07,Sexta,Housekeeping,Auxiliar de limpeza,T2,1,1,histórico
2025-02-07,Sexta,Housekeeping,Empregada de andares,T3,1,1,histórico
2025-02-07,Sexta,Housekeeping,Supervisora,T3,1,1,histórico
2025-02-07,Sexta,Housekeeping,Auxiliar de limpeza,T3,1,1,histórico
2025-02-08,Sábado,Housekeeping,Empregada de andares,T1,5,5,histórico
2025-02-08,Sábado,Housekeeping,Supervisora,T1,2,2,histórico
2025-02-08,Sábado,Housekeeping,Auxiliar de limpeza,T1,1,1,histórico
2025-02-08,Sábado,Housekeeping,Empregada de andares,T2,3,3,histórico
2025-02-08,Sábado,Housekeeping,Supervisora,T2,1,2,histórico
2025-02-08,Sábado,Housekeeping,Auxiliar de limpeza,T2,1,1,histórico
2025-02-08,Sábado,Housekeeping,Empregada de andares,T3,2,2,histórico
2025-02-08,Sábado,Housekeeping,Supervisora,T3,1,1,histórico
2025-02-08,Sábado,Housekeeping,Auxiliar de limpeza,T3,1,1,histórico
2025-02-09,Domingo,Housekeeping,Empregada de andares,T1,5,6,previsão
2025-02-09,Domingo,Housekeeping,Supervisora,T1,2,2,previsão
2025-02-09,Domingo,Housekeeping,Auxiliar de limpeza,T1,1,2,previsão
2025-02-09,Domingo,Housekeeping,Empregada de andares,T2,2,3,previsão
2025-02-09,Domingo,Housekeeping,Supervisora,T2,1,1,previsão
2025-02-09,Domingo,Housekeeping,Auxiliar de limpeza,T2,1,1,previsão
2025-02-09,Domingo,Housekeeping,Empregada de andares,T3,2,2,previsão
2025-02-09,Domingo,Housekeeping,Supervisora,T3,1,1,previsão
2025-02-09,Domingo,Housekeeping,Auxiliar de limpeza,T3,1,1,previsão
2025-02-10,Segunda,Housekeeping,Empregada de andares,T1,3,4,previsão
