data,dia_semana,mes,tipo_dia,epoca,departamento,taxa_ocupacao,quartos_ocupados,total_quartos,n_checkins,n_checkouts,evento_especial,descricao_evento,quartos_a_limpar_estimados
2025-01-25,Sábado,1,Sabado,Baixa,Housekeeping,0.48,57,120,15,20,0,Sem_evento,48
2025-01-26,Domingo,1,Domingo,Baixa,Housekeeping,0.5,60,120,15,17,0,Sem_evento,47
2025-01-27,Segunda,1,Semana,Baixa,Housekeeping,0.35,42,120,16,14,0,Sem_evento,35
2025-01-28,Terça,1,Semana,Baixa,Housekeeping,0.42,50,120,21,10,0,Sem_evento,35
2025-01-29,Quarta,1,Semana,Baixa,Housekeeping,0.38,45,120,12,11,0,Sem_evento,33
2025-01-30,Quinta,1,Semana,Baixa,Housekeeping,0.39,46,120,19,17,1,Evento_corporativo,40
2025-01-31,Sexta,1,Semana,Baixa,Housekeeping,0.43,51,120,18,11,0,Sem_evento,36
2025-02-01,Sábado,2,Sabado,Baixa,Housekeeping,0.57,68,120,17,18,0,Sem_evento,52
2025-02-02,Domingo,2,Domingo,Baixa,Housekeeping,0.5,60,120,22,16,0,Sem_evento,46
2025-02-03,Segunda,2,Semana,Baixa,Housekeeping,0.36,43,120,12,14,0,Sem_evento,35
2025-02-04,Terça,2,Semana,Baixa,Housekeeping,0.43,51,120,15,15,0,Sem_evento,40
2025-02-05,Quarta,2,Semana,Baixa,Housekeeping,0.35,42,120,17,14,0,Sem_evento,35
2025-02-06,Quinta,2,Semana,Baixa,Housekeeping,0.41,49,120,14,14,0,Sem_evento,38
2025-02-07,Sexta,2,Semana,Baixa,Housekeeping,0.37,44,120,18,10,0,Sem_evento,32
2025-02-08,Sábado,2,Sabado,Baixa,Housekeeping,0.45,54,120,20,17,0,Sem_evento,44
2025-02-09,Domingo,2,Domingo,Baixa,Housekeeping,0.51,61,120,27,22,0,Sem_evento,52
2025-02-10,Segunda,2,Semana,Baixa,Housekeeping,0.43,51,120,16,14,1,Congresso,39
2025-02-11,Terça,2,Semana,Baixa,Housekeeping,0.41,49,120,21,18,0,Sem_evento,42
2025-02-12,Quarta,2,Semana,Baixa,Housekeeping,0.4,48,120,21,15,0,Sem_evento,39
2025-02-13,Quinta,2,Semana,Baixa,Housekeeping,0.39,46,120,16,10,0,Sem_evento,33
2025-02-14,Sexta,2,Semana,Baixa,Housekeeping,0.39,46,120,16,16,0,Sem_evento,39
2025-02-15,Sábado,2,Sabado,Baixa,Housekeeping,0.47,56,120,16,12,0,Sem_evento,40
2025-02-16,Domingo,2,Domingo,Baixa,Housekeeping,0.48,57,120,24,22,0,Sem_evento,50
2025-02-17,Segunda,2,Semana,Baixa,Housekeeping,0.44,52,120,22,12,0,Sem_evento,38
2025-02-18,Terça,2,Semana,Baixa,Housekeeping,0.41,49,120,14,13,0,Sem_evento,37
2025-02-19,Quarta,2,Semana,Baixa,Housekeeping,0.33,39,120,10,12,0,Sem_evento,31
2025-02-20,Quinta,2,Semana,Baixa,Housekeeping,0.41,49,120,18,10,0,Sem_evento,34
2025-02-21,Sexta,2,Semana,Baixa,Housekeeping,0.43,51,120,14,10,0,Sem_evento,35
2025-02-22,Sábado,2,Sabado,Baixa,Housekeeping,0.47,56,120,20,15,0,Sem_evento,43
2025-02-23,Domingo,2,Domingo,Baixa,Housekeeping,0.52,62,120,19,19,1,Gala,50
2025-02-24,Segunda,2,Semana,Baixa,Housekeeping,0.44,52,120,17,17,0,Sem_evento,43
2025-02-25,Terça,2,Semana,Baixa,Housekeeping,0.44,52,120,22,18,1,Congresso,44
2025-02-26,Quarta,2,Semana,Baixa,Housekeeping,0.37,44,120,13,13,0,Sem_evento,35
2025-02-27,Quinta,2,Semana,Baixa,Housekeeping,0.39,46,120,14,17,0,Sem_evento,40
2025-02-28,Sexta,2,Semana,Baixa,Housekeeping,0.46,55,120,22,11,0,Sem_evento,38
2025-03-01,Sábado,3,Sabado,Media,Housekeeping,0.74,88,120,25,26,0,Sem_evento,70
2025-03-02,Domingo,3,Domingo,Media,Housekeeping,0.68,81,120,31,25,0,Sem_evento,65
2025-03-03,Segunda,3,Semana,Media,Housekeeping,0.59,70,120,19,25,0,Sem_evento,60
2025-03-04,Terça,3,Semana,Media,Housekeeping,0.56,67,120,21,17,0,Sem_evento,50
2025-03-05,Quarta,3,Semana,Media,Housekeeping,0.55,66,120,22,17,0,Sem_evento,50
2025-03-06,Quinta,3,Semana,Media,Housekeeping,0.63,75,120,20,26,0,Sem_evento,63
2025-03-07,Sexta,3,Semana,Media,Housekeeping,0.7,84,120,35,28,0,Sem_evento,70
2025-03-08,Sábado,3,Sabado,Media,Housekeeping,0.7,84,120,28,24,0,Sem_evento,66
2025-03-09,Domingo,3,Domingo,Media,Housekeeping,0.74,88,120,22,17,0,Sem_evento,61
2025-03-10,Segunda,3,Semana,Media,Housekeeping,0.61,73,120,31,27,0,Sem_evento,63
2025-03-11,Terça,3,Semana,Media,Housekeeping,0.57,68,120,26,14,0,Sem_evento,48
2025-03-12,Quarta,3,Semana,Media,Housekeeping,0.61,73,120,21,19,0,Sem_evento,55
2025-03-13,Quinta,3,Semana,Media,Housekeeping,0.66,79,120,32,26,0,Sem_evento,65
2025-03-14,Sexta,3,Semana,Media,Housekeeping,0.65,78,120,22,20,0,Sem_evento,59
2025-03-15,Sábado,3,Sabado,Media,Housekeeping,0.76,91,120,30,22,0,Sem_evento,67
2025-03-16,Domingo,3,Domingo,Media,Housekeeping,0.6,72,120,20,18,0,Sem_evento,54
2025-03-17,Segunda,3,Semana,Media,Housekeeping,0.63,75,120,27,25,0,Sem_evento,62
2025-03-18,Terça,3,Semana,Media,Housekeeping,0.6,72,120,27,15,0,Sem_evento,51
2025-03-19,Quarta,3,Semana,Media,Housekeeping,0.59,70,120,17,21,0,Sem_evento,56
2025-03-20,Quinta,3,Semana,Media,Housekeeping,0.6,72,120,19,24,0,Sem_evento,60
2025-03-21,Sexta,3,Semana,Media,Housekeeping,0.57,68,120,25,19,0,Sem_evento,53
2025-03-22,Sábado,3,Sabado,Media,Housekeeping,0.69,82,120,32,20,0,Sem_evento,61
2025-03-23,Domingo,3,Domingo,Media,Housekeeping,0.71,85,120,36,30,0,Sem_evento,72
2025-03-24,Segunda,3,Semana,Media,Housekeeping,0.66,79,120,24,20,0,Sem_evento,59
2025-03-25,Terça,3,Semana,Media,Housekeeping,0.58,69,120,29,16,0,Sem_evento,50
2025-03-26,Quarta,3,Semana,Media,Housekeeping,0.57,68,120,25,25,0,Sem_evento,59
2025-03-27,Quinta,3,Semana,Media,Housekeeping,0.58,69,120,27,24,0,Sem_evento,58
2025-03-28,Sexta,3,Semana,Media,Housekeeping,0.69,82,120,35,31,0,Sem_evento,72
2025-03-29,Sábado,3,Sabado,Media,Housekeeping,0.71,85,120,24,19,0,Sem_evento,61
2025-03-30,Domingo,3,Domingo,Media,Housekeeping,0.68,81,120,27,22,0,Sem_evento,62
2025-03-31,Segunda,3,Semana,Media,Housekeeping,0.62,74,120,25,29,0,Sem_evento,66
2025-04-01,Terça,4,Semana,Media,Housekeeping,0.6,72,120,20,27,0,Sem_evento,63
2025-04-02,Quarta,4,Semana,Media,Housekeeping,0.64,76,120,23,19,0,Sem_evento,57
2025-04-03,Quinta,4,Semana,Media,Housekeeping,0.57,68,120,26,14,0,Sem_evento,48
2025-04-04,Sexta,4,Semana,Media,Housekeeping,0.64,76,120,26,17,0,Sem_evento,55
2025-04-05,Sábado,4,Sabado,Media,Housekeeping,0.68,81,120,36,29,0,Sem_evento,69
2025-04-06,Domingo,4,Domingo,Media,Housekeeping,0.64,76,120,33,29,0,Sem_evento,67
2025-04-07,Segunda,4,Semana,Media,Housekeeping,0.61,73,120,25,23,1,Evento_corporativo,59
2025-04-08,Terça,4,Semana,Media,Housekeeping,0.61,73,120,28,14,0,Sem_evento,50
2025-04-09,Quarta,4,Semana,Media,Housekeeping,0.6,72,120,19,28,0,Sem_evento,64
2025-04-10,Quinta,4,Semana,Media,Housekeeping,0.59,70,120,21,19,0,Sem_evento,54
2025-04-11,Sexta,4,Semana,Media,Housekeeping,0.59,70,120,27,15,0,Sem_evento,50
2025-04-12,Sábado,4,Sabado,Media,Housekeeping,0.68,81,120,29,24,1,Gala,64
2025-04-13,Domingo,4,Domingo,Media,Housekeeping,0.69,82,120,29,22,0,Sem_evento,63
2025-04-14,Segunda,4,Semana,Media,Housekeeping,0.57,68,120,26,17,0,Sem_evento,51
2025-04-15,Terça,4,Semana,Media,Housekeeping,0.59,70,120,20,24,0,Sem_evento,59
2025-04-16,Quarta,4,Semana,Media,Housekeeping,0.62,74,120,26,22,0,Sem_evento,59
2025-04-17,Quinta,4,Semana,Media,Housekeeping,0.68,81,120,25,27,0,Sem_evento,67
2025-04-18,Sexta,4,Feriado,Media,Housekeeping,0.71,85,120,38,28,0,Sem_evento,70
2025-04-19,Sábado,4,Sabado,Media,Housekeeping,0.71,85,120,30,31,0,Sem_evento,73
2025-04-20,Domingo,4,Domingo,Media,Housekeeping,0.7,84,120,28,17,0,Sem_evento,59
2025-04-21,Segunda,4,Semana,Media,Housekeeping,0.52,62,120,26,20,0,Sem_evento,51
2025-04-22,Terça,4,Semana,Media,Housekeeping,0.6,72,120,20,27,0,Sem_evento,63
2025-04-23,Quarta,4,Semana,Media,Housekeeping,0.6,72,120,28,24,0,Sem_evento,60
2025-04-24,Quinta,4,Semana,Media,Housekeeping,0.7,84,120,21,33,0,Sem_evento,75
2025-04-25,Sexta,4,Feriado,Media,Housekeeping,0.69,82,120,27,25,0,Sem_evento,66
2025-04-26,Sábado,4,Sabado,Media,Housekeeping,0.71,85,120,31,28,0,Sem_evento,70
2025-04-27,Domingo,4,Domingo,Media,Housekeeping,0.7,84,120,21,25,0,Sem_evento,67
2025-04-28,Segunda,4,Semana,Media,Housekeeping,0.55,66,120,25,15,0,Sem_evento,48
2025-04-29,Terça,4,Semana,Media,Housekeeping,0.65,78,120,32,25,0,Sem_evento,64
2025-04-30,Quarta,4,Semana,Media,Housekeeping,0.63,75,120,19,19,0,Sem_evento,56
2025-05-01,Quinta,5,Feriado,Media,Housekeeping,0.73,87,120,33,19,0,Sem_evento,62
2025-05-02,Sexta,5,Semana,Media,Housekeeping,0.61,73,120,28,26,0,Sem_evento,62
2025-05-03,Sábado,5,Sabado,Media,Housekeeping,0.76,91,120,40,26,0,Sem_evento,71
2025-05-04,Domingo,5,Domingo,Media,Housekeeping,0.64,76,120,30,28,1,Casamento,66
2025-05-05,Segunda,5,Semana,Media,Housekeeping,0.62,74,120,19,18,0,Sem_evento,55
2025-05-06,Terça,5,Semana,Media,Housekeeping,0.69,82,120,21,26,0,Sem_evento,67
2025-05-07,Quarta,5,Semana,Media,Housekeeping,0.56,67,120,22,22,0,Sem_evento,55
2025-05-08,Quinta,5,Semana,Media,Housekeeping,0.58,69,120,27,26,0,Sem_evento,60
2025-05-09,Sexta,5,Semana,Media,Housekeeping,0.65,78,120,20,28,0,Sem_evento,67
2025-05-10,Sábado,5,Sabado,Media,Housekeeping,0.68,81,120,31,25,0,Sem_evento,65
2025-05-11,Domingo,5,Domingo,Media,Housekeeping,0.64,76,120,26,19,0,Sem_evento,57
2025-05-12,Segunda,5,Semana,Media,Housekeeping,0.6,72,120,20,24,0,Sem_evento,60
2025-05-13,Terça,5,Semana,Media,Housekeeping,0.56,67,120,26,20,0,Sem_evento,53
2025-05-14,Quarta,5,Semana,Media,Housekeeping,0.62,74,120,32,17,0,Sem_evento,54
2025-05-15,Quinta,5,Semana,Media,Housekeeping,0.56,67,120,17,19,0,Sem_evento,52
2025-05-16,Sexta,5,Semana,Media,Housekeeping,0.71,85,120,35,30,0,Sem_evento,72
2025-05-17,Sábado,5,Sabado,Media,Housekeeping,0.67,80,120,27,22,0,Sem_evento,62
2025-05-18,Domingo,5,Domingo,Media,Housekeeping,0.69,82,120,31,17,0,Sem_evento,58
2025-05-19,Segunda,5,Semana,Media,Housekeeping,0.63,75,120,21,16,0,Sem_evento,53
2025-05-20,Terça,5,Semana,Media,Housekeeping,0.55,66,120,20,19,0,Sem_evento,52
2025-05-21,Quarta,5,Semana,Media,Housekeeping,0.61,73,120,30,26,0,Sem_evento,62
2025-05-22,Quinta,5,Semana,Media,Housekeeping,0.65,78,120,24,17,0,Sem_evento,56
2025-05-23,Sexta,5,Semana,Media,Housekeeping,0.59,70,120,20,27,0,Sem_evento,62
2025-05-24,Sábado,5,Sabado,Media,Housekeeping,0.71,85,120,38,20,0,Sem_evento,62
2025-05-25,Domingo,5,Domingo,Media,Housekeeping,0.71,85,120,35,23,0,Sem_evento,65
2025-05-26,Segunda,5,Semana,Media,Housekeeping,0.63,75,120,22,17,0,Sem_evento,54
2025-05-27,Terça,5,Semana,Media,Housekeeping,0.55,66,120,29,16,1,Congresso,49
2025-05-28,Quarta,5,Semana,Media,Housekeeping,0.55,66,120,28,23,0,Sem_evento,56
2025-05-29,Quinta,5,Semana,Media,Housekeeping,0.62,74,120,25,26,0,Sem_evento,63
2025-05-30,Sexta,5,Semana,Media,Housekeeping,0.66,79,120,31,27,0,Sem_evento,66
2025-05-31,Sábado,5,Sabado,Media,Housekeeping,0.71,85,120,22,25,0,Sem_evento,67
2025-06-01,Domingo,6,Domingo,Alta,Housekeeping,0.91,109,120,30,31,0,Sem_evento,85
2025-06-02,Segunda,6,Semana,Alta,Housekeeping,0.77,92,120,29,20,0,Sem_evento,66
2025-06-03,Terça,6,Semana,Alta,Housekeeping,0.81,97,120,28,34,0,Sem_evento,82
2025-06-04,Quarta,6,Semana,Alta,Housekeeping,0.81,97,120,43,20,0,Sem_evento,68
2025-06-05,Quinta,6,Semana,Alta,Housekeeping,0.77,92,120,38,34,0,Sem_evento,80
2025-06-06,Sexta,6,Semana,Alta,Housekeeping,0.92,110,120,47,30,0,Sem_evento,85
2025-06-07,Sábado,6,Sabado,Alta,Housekeeping,0.92,110,120,31,32,0,Sem_evento,87
2025-06-08,Domingo,6,Domingo,Alta,Housekeeping,0.85,102,120,45,23,0,Sem_evento,74
2025-06-09,Segunda,6,Semana,Alta,Housekeeping,0.83,99,120,31,27,0,Sem_evento,76
2025-06-10,Terça,6,Feriado,Alta,Housekeeping,0.86,103,120,41,25,0,Sem_evento,76
2025-06-11,Quarta,6,Semana,Alta,Housekeeping,0.83,99,120,40,36,0,Sem_evento,85
2025-06-12,Quinta,6,Semana,Alta,Housekeeping,0.85,102,120,39,24,0,Sem_evento,75
2025-06-13,Sexta,6,Semana,Alta,Housekeeping,0.82,98,120,28,20,0,Sem_evento,69
2025-06-14,Sábado,6,Sabado,Alta,Housekeeping,0.94,112,120,44,40,0,Sem_evento,96
2025-06-15,Domingo,6,Domingo,Alta,Housekeeping,0.92,110,120,43,23,0,Sem_evento,78
2025-06-16,Segunda,6,Semana,Alta,Housekeeping,0.83,99,120,36,22,0,Sem_evento,71
2025-06-17,Terça,6,Semana,Alta,Housekeeping,0.88,105,120,45,21,0,Sem_evento,73
2025-06-18,Quarta,6,Semana,Alta,Housekeeping,0.79,94,120,23,22,0,Sem_evento,69
2025-06-19,Quinta,6,Feriado,Alta,Housekeeping,0.87,104,120,41,35,0,Sem_evento,87
2025-06-20,Sexta,6,Semana,Alta,Housekeeping,0.81,97,120,34,35,0,Sem_evento,83
2025-06-21,Sábado,6,Sabado,Alta,Housekeeping,0.87,104,120,31,29,0,Sem_evento,81
2025-06-22,Domingo,6,Domingo,Alta,Housekeeping,0.9,108,120,28,29,0,Sem_evento,83
2025-06-23,Segunda,6,Semana,Alta,Housekeeping,0.81,97,120,34,37,0,Sem_evento,85
2025-06-24,Terça,6,Semana,Alta,Housekeeping,0.81,97,120,28,21,0,Sem_evento,69
2025-06-25,Quarta,6,Semana,Alta,Housekeeping,0.83,99,120,38,32,0,Sem_evento,81
2025-06-26,Quinta,6,Semana,Alta,Housekeeping,0.8,96,120,37,21,0,Sem_evento,69
2025-06-27,Sexta,6,Semana,Alta,Housekeeping,0.91,109,120,39,30,1,Congresso,84
2025-06-28,Sábado,6,Sabado,Alta,Housekeeping,0.89,106,120,47,34,0,Sem_evento,87
2025-06-29,Domingo,6,Domingo,Alta,Housekeeping,0.99,118,120,49,32,0,Sem_evento,91
2025-06-30,Segunda,6,Semana,Alta,Housekeeping,0.83,99,120,41,22,0,Sem_evento,71
2025-07-01,Terça,7,Semana,Alta,Housekeeping,0.77,92,120,35,28,0,Sem_evento,74
2025-07-02,Quarta,7,Semana,Alta,Housekeeping,0.76,91,120,34,21,0,Sem_evento,66
2025-07-03,Quinta,7,Semana,Alta,Housekeeping,0.82,98,120,30,33,0,Sem_evento,82
2025-07-04,Sexta,7,Semana,Alta,Housekeeping,0.84,100,120,34,32,0,Sem_evento,82
2025-07-05,Sábado,7,Sabado,Alta,Housekeeping,0.93,111,120,41,33,0,Sem_evento,88
2025-07-06,Domingo,7,Domingo,Alta,Housekeeping,0.92,110,120,31,37,0,Sem_evento,92
2025-07-07,Segunda,7,Semana,Alta,Housekeeping,0.8,96,120,43,23,0,Sem_evento,71
2025-07-08,Terça,7,Semana,Alta,Housekeeping,0.77,92,120,23,29,0,Sem_evento,75
2025-07-09,Quarta,7,Semana,Alta,Housekeeping,0.74,88,120,32,33,0,Sem_evento,77
2025-07-10,Quinta,7,Semana,Alta,Housekeeping,0.78,93,120,32,22,0,Sem_evento,68
2025-07-11,Sexta,7,Semana,Alta,Housekeeping,0.88,105,120,40,21,0,Sem_evento,73
2025-07-12,Sábado,7,Sabado,Alta,Housekeeping,0.91,109,120,40,29,0,Sem_evento,83
2025-07-13,Domingo,7,Domingo,Alta,Housekeeping,0.85,102,120,39,40,0,Sem_evento,91
2025-07-14,Segunda,7,Semana,Alta,Housekeeping,0.81,97,120,39,32,0,Sem_evento,80
2025-07-15,Terça,7,Semana,Alta,Housekeeping,0.82,98,120,27,19,0,Sem_evento,68
2025-07-16,Quarta,7,Semana,Alta,Housekeeping,0.76,91,120,38,31,0,Sem_evento,76
2025-07-17,Quinta,7,Semana,Alta,Housekeeping,0.81,97,120,36,34,0,Sem_evento,82
2025-07-18,Sexta,7,Semana,Alta,Housekeeping,0.85,102,120,34,40,0,Sem_evento,91
2025-07-19,Sábado,7,Sabado,Alta,Housekeeping,0.85,102,120,35,38,0,Sem_evento,89
2025-07-20,Domingo,7,Domingo,Alta,Housekeeping,0.91,109,120,39,33,0,Sem_evento,87
2025-07-21,Segunda,7,Semana,Alta,Housekeeping,0.82,98,120,35,26,0,Sem_evento,75
2025-07-22,Terça,7,Semana,Alta,Housekeeping,0.84,100,120,42,20,0,Sem_evento,70
2025-07-23,Quarta,7,Semana,Alta,Housekeeping,0.84,100,120,28,22,0,Sem_evento,72
2025-07-24,Quinta,7,Semana,Alta,Housekeeping,0.74,88,120,24,19,0,Sem_evento,63
2025-07-25,Sexta,7,Semana,Alta,Housekeeping,0.81,97,120,38,24,0,Sem_evento,72
2025-07-26,Sábado,7,Sabado,Alta,Housekeeping,0.92,110,120,33,34,0,Sem_evento,89
2025-07-27,Domingo,7,Domingo,Alta,Housekeeping,0.92,110,120,32,35,0,Sem_evento,90
2025-07-28,Segunda,7,Semana,Alta,Housekeeping,0.82,98,120,42,25,0,Sem_evento,74
2025-07-29,Terça,7,Semana,Alta,Housekeeping,0.95,114,120,41,30,0,Sem_evento,87
2025-07-30,Quarta,7,Semana,Alta,Housekeeping,0.82,98,120,32,28,0,Sem_evento,77
2025-07-31,Quinta,7,Semana,Alta,Housekeeping,0.85,102,120,33,21,1,Conferencia,72
2025-08-01,Sexta,8,Semana,Alta,Housekeeping,0.89,106,120,36,21,0,Sem_evento,74
2025-08-02,Sábado,8,Sabado,Alta,Housekeeping,0.93,111,120,46,22,0,Sem_evento,77
2025-08-03,Domingo,8,Domingo,Alta,Housekeeping,0.89,106,120,43,31,0,Sem_evento,84
2025-08-04,Segunda,8,Semana,Alta,Housekeeping,0.83,99,120,38,24,0,Sem_evento,73
2025-08-05,Terça,8,Semana,Alta,Housekeeping,0.77,92,120,26,31,0,Sem_evento,77
2025-08-06,Quarta,8,Semana,Alta,Housekeeping,0.79,94,120,32,32,0,Sem_evento,79
2025-08-07,Quinta,8,Semana,Alta,Housekeeping,0.78,93,120,26,32,0,Sem_evento,78
2025-08-08,Sexta,8,Semana,Alta,Housekeeping,0.85,102,120,35,25,0,Sem_evento,76
2025-08-09,Sábado,8,Sabado,Alta,Housekeeping,0.99,118,120,52,33,0,Sem_evento,92
2025-08-10,Domingo,8,Domingo,Alta,Housekeeping,0.83,99,120,40,31,1,Casamento,80
2025-08-11,Segunda,8,Semana,Alta,Housekeeping,0.83,99,120,24,30,0,Sem_evento,79
2025-08-12,Terça,8,Semana,Alta,Housekeeping,0.74,88,120,34,30,0,Sem_evento,74
2025-08-13,Quarta,8,Semana,Alta,Housekeeping,0.78,93,120,27,34,0,Sem_evento,80
2025-08-14,Quinta,8,Semana,Alta,Housekeeping,0.84,100,120,31,38,0,Sem_evento,88
2025-08-15,Sexta,8,Feriado,Alta,Housekeeping,0.9,108,120,43,40,0,Sem_evento,94
2025-08-16,Sábado,8,Sabado,Alta,Housekeeping,0.86,103,120,29,30,0,Sem_evento,81
2025-08-17,Domingo,8,Domingo,Alta,Housekeeping,0.87,104,120,33,40,0,Sem_evento,92
2025-08-18,Segunda,8,Semana,Alta,Housekeeping,0.83,99,120,44,35,0,Sem_evento,84
2025-08-19,Terça,8,Semana,Alta,Housekeeping,0.77,92,120,34,18,0,Sem_evento,64
2025-08-20,Quarta,8,Semana,Alta,Housekeeping,0.81,97,120,26,27,0,Sem_evento,75
2025-08-21,Quinta,8,Semana,Alta,Housekeeping,0.8,96,120,38,31,0,Sem_evento,79
2025-08-22,Sexta,8,Semana,Alta,Housekeeping,0.82,98,120,43,21,0,Sem_evento,70
2025-08-23,Sábado,8,Sabado,Alta,Housekeeping,0.99,118,120,47,42,0,Sem_evento,101
2025-08-24,Domingo,8,Domingo,Alta,Housekeeping,0.93,111,120,37,43,0,Sem_evento,98
2025-08-25,Segunda,8,Semana,Alta,Housekeeping,0.72,86,120,25,25,0,Sem_evento,68
2025-08-26,Terça,8,Semana,Alta,Housekeeping,0.81,97,120,42,23,0,Sem_evento,71
2025-08-27,Quarta,8,Semana,Alta,Housekeeping,0.77,92,120,33,19,0,Sem_evento,65
2025-08-28,Quinta,8,Semana,Alta,Housekeeping,0.83,99,120,42,33,0,Sem_evento,82
2025-08-29,Sexta,8,Semana,Alta,Housekeeping,0.82,98,120,42,20,0,Sem_evento,69
2025-08-30,Sábado,8,Sabado,Alta,Housekeeping,0.9,108,120,36,41,0,Sem_evento,95
2025-08-31,Domingo,8,Domingo,Alta,Housekeeping,0.92,110,120,31,33,0,Sem_evento,88
2025-09-01,Segunda,9,Semana,Alta,Housekeeping,0.83,99,120,39,28,0,Sem_evento,77
2025-09-02,Terça,9,Semana,Alta,Housekeeping,0.75,90,120,39,27,0,Sem_evento,72
2025-09-03,Quarta,9,Semana,Alta,Housekeeping,0.79,94,120,31,23,0,Sem_evento,70
2025-09-04,Quinta,9,Semana,Alta,Housekeeping,0.78,93,120,24,33,0,Sem_evento,79
2025-09-05,Sexta,9,Semana,Alta,Housekeeping,0.82,98,120,36,29,0,Sem_evento,78
2025-09-06,Sábado,9,Sabado,Alta,Housekeeping,0.97,116,120,46,24,0,Sem_evento,82
2025-09-07,Domingo,9,Domingo,Alta,Housekeeping,0.92,110,120,38,34,0,Sem_evento,89
2025-09-08,Segunda,9,Semana,Alta,Housekeeping,0.75,90,120,34,23,0,Sem_evento,68
2025-09-09,Terça,9,Semana,Alta,Housekeeping,0.84,100,120,44,23,0,Sem_evento,73
2025-09-10,Quarta,9,Semana,Alta,Housekeeping,0.88,105,120,32,39,0,Sem_evento,91
2025-09-11,Quinta,9,Semana,Alta,Housekeeping,0.84,100,120,35,31,0,Sem_evento,81
2025-09-12,Sexta,9,Semana,Alta,Housekeeping,0.79,94,120,25,34,0,Sem_evento,81
2025-09-13,Sábado,9,Sabado,Alta,Housekeeping,0.88,105,120,34,38,0,Sem_evento,90
2025-09-14,Domingo,9,Domingo,Alta,Housekeeping,0.95,114,120,29,34,1,Conferencia,91
2025-09-15,Segunda,9,Semana,Alta,Housekeeping,0.77,92,120,29,24,0,Sem_evento,70
2025-09-16,Terça,9,Semana,Alta,Housekeeping,0.82,98,120,31,19,0,Sem_evento,68
2025-09-17,Quarta,9,Semana,Alta,Housekeeping,0.83,99,120,40,23,0,Sem_evento,72
2025-09-18,Quinta,9,Semana,Alta,Housekeeping,0.76,91,120,30,26,0,Sem_evento,71
2025-09-19,Sexta,9,Semana,Alta,Housekeeping,0.85,102,120,37,33,0,Sem_evento,84
2025-09-20,Sábado,9,Sabado,Alta,Housekeeping,0.77,92,120,30,21,0,Sem_evento,67
2025-09-21,Domingo,9,Domingo,Alta,Housekeeping,0.86,103,120,32,40,0,Sem_evento,91
2025-09-22,Segunda,9,Semana,Alta,Housekeeping,0.79,94,120,34,31,0,Sem_evento,78
