atividade_tipologia_id,data,tipologia_id,unidade_hotel,departamento,quartos_ocupados,quartos_checkout,quartos_stayover,carga_limpeza_min
AT0087,2025-01-18,TQ02,Unidade 1,Housekeeping,22,6,16,530
AT0088,2025-01-18,TQ03,Unidade 1,Housekeeping,18,5,13,476
AT0089,2025-01-18,TQ04,Unidade 1,Housekeeping,6,2,4,250
AT0090,2025-01-18,TQ05,Unidade 1,Housekeeping,5,1,4,280
AT0091,2025-01-19,TQ01,Unidade 1,Housekeeping,11,4,7,205
AT0092,2025-01-19,TQ02,Unidade 1,Housekeeping,25,9,16,635
AT0093,2025-01-19,TQ03,Unidade 1,Housekeeping,11,4,7,306
AT0094,2025-01-19,TQ04,Unidade 1,Housekeeping,7,2,5,285
AT0095,2025-01-19,TQ05,Unidade 1,Housekeeping,1,0,1,50
AT0096,2025-01-20,TQ01,Unidade 1,Housekeeping,9,3,6,165
AT0097,2025-01-20,TQ02,Unidade 1,Housekeeping,19,5,14,455
AT0098,2025-01-20,TQ03,Unidade 1,Housekeeping,9,3,6,246
AT0099,2025-01-20,TQ04,Unidade 1,Housekeeping,1,0,1,35
AT0100,2025-01-20,TQ05,Unidade 1,Housekeeping,2,0,2,100
AT0101,2025-01-21,TQ01,Unidade 1,Housekeeping,16,3,13,270
AT0102,2025-01-21,TQ02,Unidade 1,Housekeeping,19,4,15,440
AT0103,2025-01-21,TQ03,Unidade 1,Housekeeping,17,3,14,422
AT0104,2025-01-21,TQ04,Unidade 1,Housekeeping,2,1,1,90
AT0105,2025-01-21,TQ05,Unidade 1,Housekeeping,1,0,1,50
AT0106,2025-01-22,TQ01,Unidade 1,Housekeeping,21,5,16,365
AT0107,2025-01-22,TQ02,Unidade 1,Housekeeping,15,4,11,360
AT0108,2025-01-22,TQ03,Unidade 1,Housekeeping,7,2,5,186
AT0109,2025-01-22,TQ04,Unidade 1,Housekeeping,3,1,2,125
AT0110,2025-01-22,TQ05,Unidade 1,Housekeeping,0,0,0,0
AT0111,2025-01-23,TQ01,Unidade 1,Housekeeping,19,5,14,335
AT0112,2025-01-23,TQ02,Unidade 1,Housekeeping,15,4,11,360
AT0113,2025-01-23,TQ03,Unidade 1,Housekeeping,7,2,5,186
AT0114,2025-01-23,TQ04,Unidade 1,Housekeeping,4,1,3,160
AT0115,2025-01-23,TQ05,Unidade 1,Housekeeping,3,1,2,180
AT0116,2025-01-24,TQ01,Unidade 1,Housekeeping,15,4,11,265
AT0117,2025-01-24,TQ02,Unidade 1,Housekeeping,15,3,12,345
AT0118,2025-01-24,TQ03,Unidade 1,Housekeeping,7,2,5,186
AT0119,2025-01-24,TQ04,Unidade 1,Housekeeping,6,1,5,230
AT0120,2025-01-24,TQ05,Unidade 1,Housekeeping,3,1,2,180
AT0121,2025-01-25,TQ01,Unidade 1,Housekeeping,11,4,7,205
AT0122,2025-01-25,TQ02,Unidade 1,Housekeeping,32,11,21,805
AT0123,2025-01-25,TQ03,Unidade 1,Housekeeping,9,3,6,246
AT0124,2025-01-25,TQ04,Unidade 1,Housekeeping,3,1,2,125
AT0125,2025-01-25,TQ05,Unidade 1,Housekeeping,2,1,1,130
AT0126,2025-01-26,TQ01,Unidade 1,Housekeeping,9,3,6,165
AT0127,2025-01-26,TQ02,Unidade 1,Housekeeping,23,7,16,565
AT0128,2025-01-26,TQ03,Unidade 1,Housekeeping,19,5,14,498
AT0129,2025-01-26,TQ04,Unidade 1,Housekeeping,5,1,4,195
AT0130,2025-01-26,TQ05,Unidade 1,Housekeeping,4,1,3,230
AT0131,2025-01-27,TQ01,Unidade 1,Housekeeping,14,5,9,260
AT0132,2025-01-27,TQ02,Unidade 1,Housekeeping,12,4,8,300
AT0133,2025-01-27,TQ03,Unidade 1,Housekeeping,10,3,7,268
AT0134,2025-01-27,TQ04,Unidade 1,Housekeeping,5,2,3,215
AT0135,2025-01-27,TQ05,Unidade 1,Housekeeping,1,0,1,50
AT0136,2025-01-28,TQ01,Unidade 1,Housekeeping,11,2,9,185
AT0137,2025-01-28,TQ02,Unidade 1,Housekeeping,27,5,22,615
AT0138,2025-01-28,TQ03,Unidade 1,Housekeeping,9,2,7,230
AT0139,2025-01-28,TQ04,Unidade 1,Housekeeping,0,0,0,0
AT0140,2025-01-28,TQ05,Unidade 1,Housekeeping,3,1,2,180
AT0141,2025-01-29,TQ01,Unidade 1,Housekeeping,8,2,6,140
AT0142,2025-01-29,TQ02,Unidade 1,Housekeeping,16,4,12,380
AT0143,2025-01-29,TQ03,Unidade 1,Housekeeping,17,4,13,438
AT0144,2025-01-29,TQ04,Unidade 1,Housekeeping,4,1,3,160
AT0145,2025-01-29,TQ05,Unidade 1,Housekeeping,0,0,0,0
AT0146,2025-01-30,TQ01,Unidade 1,Housekeeping,4,2,2,80
AT0147,2025-01-30,TQ02,Unidade 1,Housekeeping,27,10,17,690
AT0148,2025-01-30,TQ03,Unidade 1,Housekeeping,7,2,5,186
AT0149,2025-01-30,TQ04,Unidade 1,Housekeeping,5,2,3,215
AT0150,2025-01-30,TQ05,Unidade 1,Housekeeping,3,1,2,180
AT0151,2025-01-31,TQ01,Unidade 1,Housekeeping,22,5,17,380
AT0152,2025-01-31,TQ02,Unidade 1,Housekeeping,16,4,12,380
AT0153,2025-01-31,TQ03,Unidade 1,Housekeeping,11,2,9,274
AT0154,2025-01-31,TQ04,Unidade 1,Housekeeping,1,0,1,35
AT0155,2025-01-31,TQ05,Unidade 1,Housekeeping,1,0,1,50
AT0156,2025-02-01,TQ01,Unidade 1,Housekeeping,17,4,13,295
AT0157,2025-02-01,TQ02,Unidade 1,Housekeeping,40,11,29,965
AT0158,2025-02-01,TQ03,Unidade 1,Housekeeping,6,2,4,164
AT0159,2025-02-01,TQ04,Unidade 1,Housekeeping,4,1,3,160
AT0160,2025-02-01,TQ05,Unidade 1,Housekeeping,1,0,1,50
AT0161,2025-02-02,TQ01,Unidade 1,Housekeeping,21,6,15,375
AT0162,2025-02-02,TQ02,Unidade 1,Housekeeping,24,6,18,570
AT0163,2025-02-02,TQ03,Unidade 1,Housekeeping,7,2,5,186
AT0164,2025-02-02,TQ04,Unidade 1,Housekeeping,7,2,5,285
AT0165,2025-02-02,TQ05,Unidade 1,Housekeeping,1,0,1,50
AT0166,2025-02-03,TQ01,Unidade 1,Housekeeping,11,4,7,205
AT0167,2025-02-03,TQ02,Unidade 1,Housekeeping,20,6,14,490
AT0168,2025-02-03,TQ03,Unidade 1,Housekeeping,6,2,4,164
AT0169,2025-02-03,TQ04,Unidade 1,Housekeeping,5,2,3,215
AT0170,2025-02-03,TQ05,Unidade 1,Housekeeping,1,0,1,50
AT0171,2025-02-04,TQ01,Unidade 1,Housekeeping,27,7,20,475
AT0172,2025-02-04,TQ02,Unidade 1,Housekeeping,8,2,6,190
AT0173,2025-02-04,TQ03,Unidade 1,Housekeeping,6,2,4,164
AT0174,2025-02-04,TQ04,Unidade 1,Housekeeping,5,1,4,195
AT0175,2025-02-04,TQ05,Unidade 1,Housekeeping,5,3,2,340
AT0176,2025-02-05,TQ01,Unidade 1,Housekeeping,16,5,11,290
AT0177,2025-02-05,TQ02,Unidade 1,Housekeeping,12,4,8,300
AT0178,2025-02-05,TQ03,Unidade 1,Housekeeping,12,4,8,328
AT0179,2025-02-05,TQ04,Unidade 1,Housekeeping,2,1,1,90
AT0180,2025-02-05,TQ05,Unidade 1,Housekeeping,0,0,0,0
AT0181,2025-02-06,TQ01,Unidade 1,Housekeeping,13,4,9,235
AT0182,2025-02-06,TQ02,Unidade 1,Housekeeping,20,6,14,490
AT0183,2025-02-06,TQ03,Unidade 1,Housekeeping,8,2,6,208
AT0184,2025-02-06,TQ04,Unidade 1,Housekeeping,3,1,2,125
AT0185,2025-02-06,TQ05,Unidade 1,Housekeeping,5,1,4,280
AT0186,2025-02-07,TQ01,Unidade 1,Housekeeping,19,4,15,325
AT0187,2025-02-07,TQ02,Unidade 1,Housekeeping,11,3,8,265
AT0188,2025-02-07,TQ03,Unidade 1,Housekeeping,3,1,2,82
AT0189,2025-02-07,TQ04,Unidade 1,Housekeeping,10,2,8,390
AT0190,2025-02-07,TQ05,Unidade 1,Housekeeping,1,0,1,50
AT0191,2025-02-08,TQ01,Unidade 1,Housekeeping,22,6,16,390
AT0192,2025-02-08,TQ02,Unidade 1,Housekeeping,10,3,7,245
AT0193,2025-02-08,TQ03,Unidade 1,Housekeeping,17,5,12,454
AT0194,2025-02-08,TQ04,Unidade 1,Housekeeping,0,0,0,0
AT0195,2025-02-08,TQ05,Unidade 1,Housekeeping,5,3,2,340
AT0196,2025-02-09,TQ01,Unidade 1,Housekeeping,15,5,10,275
AT0197,2025-02-09,TQ02,Unidade 1,Housekeeping,17,6,11,430
AT0198,2025-02-09,TQ03,Unidade 1,Housekeeping,21,8,13,590
AT0199,2025-02-09,TQ04,Unidade 1,Housekeeping,5,2,3,215
AT0200,2025-02-09,TQ05,Unidade 1,Housekeeping,3,1,2,180
AT0201,2025-02-10,TQ01,Unidade 1,Housekeeping,8,2,6,140
AT0202,2025-02-10,TQ02,Unidade 1,Housekeeping,27,7,20,645
AT0203,2025-02-10,TQ03,Unidade 1,Housekeeping,4,1,3,104
AT0204,2025-02-10,TQ04,Unidade 1,Housekeeping,7,2,5,285
AT0205,2025-02-10,TQ05,Unidade 1,Housekeeping,5,2,3,310
AT0206,2025-02-11,TQ01,Unidade 1,Housekeeping,16,6,10,300
AT0207,2025-02-11,TQ02,Unidade 1,Housekeeping,23,8,15,580
AT0208,2025-02-11,TQ03,Unidade 1,Housekeeping,6,2,4,164
AT0209,2025-02-11,TQ04,Unidade 1,Housekeeping,4,2,2,180
AT0210,2025-02-11,TQ05,Unidade 1,Housekeeping,0,0,0,0
AT0211,2025-02-12,TQ01,Unidade 1,Housekeeping,13,4,9,235
AT0212,2025-02-12,TQ02,Unidade 1,Housekeeping,27,9,18,675
AT0213,2025-02-12,TQ03,Unidade 1,Housekeeping,5,1,4,126
AT0214,2025-02-12,TQ04,Unidade 1,Housekeeping,2,1,1,90
AT0215,2025-02-12,TQ05,Unidade 1,Housekeeping,1,0,1,50
AT0216,2025-02-13,TQ01,Unidade 1,Housekeeping,21,5,16,365
AT0217,2025-02-13,TQ02,Unidade 1,Housekeeping,14,3,11,325
AT0218,2025-02-13,TQ03,Unidade 1,Housekeeping,10,2,8,252
AT0219,2025-02-13,TQ04,Unidade 1,Housekeeping,0,0,0,0
AT0220,2025-02-13,TQ05,Unidade 1,Housekeeping,1,0,1,50
AT0221,2025-02-14,TQ01,Unidade 1,Housekeeping,7,2,5,125
AT0222,2025-02-14,TQ02,Unidade 1,Housekeeping,16,6,10,410
AT0223,2025-02-14,TQ03,Unidade 1,Housekeeping,17,6,11,470
AT0224,2025-02-14,TQ04,Unidade 1,Housekeeping,3,1,2,125
AT0225,2025-02-14,TQ05,Unidade 1,Housekeeping,3,1,2,180
AT0226,2025-02-15,TQ01,Unidade 1,Housekeeping,8,2,6,140
AT0227,2025-02-15,TQ02,Unidade 1,Housekeeping,35,7,28,805
AT0228,2025-02-15,TQ03,Unidade 1,Housekeeping,6,1,5,148
AT0229,2025-02-15,TQ04,Unidade 1,Housekeeping,3,1,2,125
AT0230,2025-02-15,TQ05,Unidade 1,Housekeeping,4,1,3,230
AT0231,2025-02-16,TQ01,Unidade 1,Housekeeping,17,7,10,325
AT0232,2025-02-16,TQ02,Unidade 1,Housekeeping,24,9,15,615
AT0233,2025-02-16,TQ03,Unidade 1,Housekeeping,8,3,5,224
AT0234,2025-02-16,TQ04,Unidade 1,Housekeeping,6,2,4,250
AT0235,2025-02-16,TQ05,Unidade 1,Housekeeping,2,1,1,130
AT0236,2025-02-17,TQ01,Unidade 1,Housekeeping,13,3,10,225
AT0237,2025-02-17,TQ02,Unidade 1,Housekeeping,29,7,22,685
AT0238,2025-02-17,TQ03,Unidade 1,Housekeeping,9,2,7,230
AT0239,2025-02-17,TQ04,Unidade 1,Housekeeping,1,0,1,35
AT0240,2025-02-17,TQ05,Unidade 1,Housekeeping,0,0,0,0
AT0241,2025-02-18,TQ01,Unidade 1,Housekeeping,14,4,10,250
AT0242,2025-02-18,TQ02,Unidade 1,Housekeeping,18,5,13,435
AT0243,2025-02-18,TQ03,Unidade 1,Housekeeping,10,3,7,268
AT0244,2025-02-18,TQ04,Unidade 1,Housekeeping,2,0,2,70
AT0245,2025-02-18,TQ05,Unidade 1,Housekeeping,5,1,4,280
AT0246,2025-02-19,TQ01,Unidade 1,Housekeeping,11,3,8,195
AT0247,2025-02-19,TQ02,Unidade 1,Housekeeping,16,5,11,395
AT0248,2025-02-19,TQ03,Unidade 1,Housekeeping,6,2,4,164
AT0249,2025-02-19,TQ04,Unidade 1,Housekeeping,5,2,3,215
AT0250,2025-02-19,TQ05,Unidade 1,Housekeeping,1,0,1,50
AT0251,2025-02-20,TQ01,Unidade 1,Housekeeping,16,4,12,280
AT0252,2025-02-20,TQ02,Unidade 1,Housekeeping,20,4,16,460
AT0253,2025-02-20,TQ03,Unidade 1,Housekeeping,7,1,6,170
AT0254,2025-02-20,TQ04,Unidade 1,Housekeeping,5,1,4,195
AT0255,2025-02-20,TQ05,Unidade 1,Housekeeping,1,0,1,50
AT0256,2025-02-21,TQ01,Unidade 1,Housekeeping,18,2,16,290
AT0257,2025-02-21,TQ02,Unidade 1,Housekeeping,15,3,12,345
AT0258,2025-02-21,TQ03,Unidade 1,Housekeeping,8,2,6,208
AT0259,2025-02-21,TQ04,Unidade 1,Housekeeping,5,1,4,195
AT0260,2025-02-21,TQ05,Unidade 1,Housekeeping,5,2,3,310
AT0261,2025-02-22,TQ01,Unidade 1,Housekeeping,7,2,5,125
AT0262,2025-02-22,TQ02,Unidade 1,Housekeeping,26,7,19,625
AT0263,2025-02-22,TQ03,Unidade 1,Housekeeping,18,5,13,476
AT0264,2025-02-22,TQ04,Unidade 1,Housekeeping,2,0,2,70
AT0265,2025-02-22,TQ05,Unidade 1,Housekeeping,3,1,2,180
AT0266,2025-02-23,TQ01,Unidade 1,Housekeeping,15,5,10,275
AT0267,2025-02-23,TQ02,Unidade 1,Housekeeping,30,9,21,735
AT0268,2025-02-23,TQ03,Unidade 1,Housekeeping,8,3,5,224
AT0269,2025-02-23,TQ04,Unidade 1,Housekeeping,8,2,6,320
AT0270,2025-02-23,TQ05,Unidade 1,Housekeeping,1,0,1,50
AT0271,2025-02-24,TQ01,Unidade 1,Housekeeping,13,4,9,235
AT0272,2025-02-24,TQ02,Unidade 1,Housekeeping,19,6,13,470
AT0273,2025-02-24,TQ03,Unidade 1,Housekeeping,13,5,8,366
AT0274,2025-02-24,TQ04,Unidade 1,Housekeeping,7,2,5,285
AT0275,2025-02-24,TQ05,Unidade 1,Housekeeping,0,0,0,0
AT0276,2025-02-25,TQ01,Unidade 1,Housekeeping,16,5,11,290
AT0277,2025-02-25,TQ02,Unidade 1,Housekeeping,23,8,15,580
AT0278,2025-02-25,TQ03,Unidade 1,Housekeeping,5,2,3,142
AT0279,2025-02-25,TQ04,Unidade 1,Housekeeping,5,2,3,215
AT0280,2025-02-25,TQ05,Unidade 1,Housekeeping,3,1,2,180
AT0281,2025-02-26,TQ01,Unidade 1,Housekeeping,6,2,4,110
AT0282,2025-02-26,TQ02,Unidade 1,Housekeeping,25,7,18,605
AT0283,2025-02-26,TQ03,Unidade 1,Housekeeping,10,3,7,268
AT0284,2025-02-26,TQ04,Unidade 1,Housekeeping,0,0,0,0
AT0285,2025-02-26,TQ05,Unidade 1,Housekeeping,3,1,2,180
AT0286,2025-02-27,TQ01,Unidade 1,Housekeeping,11,4,7,205
AT0287,2025-02-27,TQ02,Unidade 1,Housekeeping,18,7,11,465
AT0288,2025-02-27,TQ03,Unidade 1,Housekeeping,11,4,7,306
AT0289,2025-02-27,TQ04,Unidade 1,Housekeeping,6,2,4,250
AT0290,2025-02-27,TQ05,Unidade 1,Housekeeping,0,0,0,0
AT0291,2025-02-28,TQ01,Unidade 1,Housekeeping,24,5,19,410
AT0292,2025-02-28,TQ02,Unidade 1,Housekeeping,19,4,15,440
AT0293,2025-02-28,TQ03,Unidade 1,Housekeeping,7,1,6,170
AT0294,2025-02-28,TQ04,Unidade 1,Housekeeping,5,1,4,195
AT0295,2025-02-28,TQ05,Unidade 1,Housekeeping,0,0,0,0
AT0296,2025-03-01,TQ01,Unidade 1,Housekeeping,27,6,21,465
AT0297,2025-03-01,TQ02,Unidade 1,Housekeeping,31,9,22,755
AT0298,2025-03-01,TQ03,Unidade 1,Housekeeping,15,5,10,410
AT0299,2025-03-01,TQ04,Unidade 1,Housekeeping,10,5,5,450
AT0300,2025-03-01,TQ05,Unidade 1,Housekeeping,5,1,4,280
AT0301,2025-03-02,TQ01,Unidade 1,Housekeeping,20,6,14,360
AT0302,2025-03-02,TQ02,Unidade 1,Housekeeping,47,15,32,1165
AT0303,2025-03-02,TQ03,Unidade 1,Housekeeping,7,2,5,186
AT0304,2025-03-02,TQ04,Unidade 1,Housekeeping,6,2,4,250
AT0305,2025-03-02,TQ05,Unidade 1,Housekeeping,1,0,1,50
AT0306,2025-03-03,TQ01,Unidade 1,Housekeeping,23,8,15,425
AT0307,2025-03-03,TQ02,Unidade 1,Housekeeping,16,6,10,410
AT0308,2025-03-03,TQ03,Unidade 1,Housekeeping,24,9,15,672
AT0309,2025-03-03,TQ04,Unidade 1,Housekeeping,7,2,5,285
AT0310,2025-03-03,TQ05,Unidade 1,Housekeeping,0,0,0,0
AT0311,2025-03-04,TQ01,Unidade 1,Housekeeping,11,3,8,195
AT0312,2025-03-04,TQ02,Unidade 1,Housekeeping,32,8,24,760
AT0313,2025-03-04,TQ03,Unidade 1,Housekeeping,20,5,15,520
AT0314,2025-03-04,TQ04,Unidade 1,Housekeeping,1,0,1,35
AT0315,2025-03-04,TQ05,Unidade 1,Housekeeping,3,1,2,180
AT0316,2025-03-05,TQ01,Unidade 1,Housekeeping,12,3,9,210
AT0317,2025-03-05,TQ02,Unidade 1,Housekeeping,31,8,23,740
AT0318,2025-03-05,TQ03,Unidade 1,Housekeeping,19,5,14,498
AT0319,2025-03-05,TQ04,Unidade 1,Housekeeping,3,1,2,125
AT0320,2025-03-05,TQ05,Unidade 1,Housekeeping,1,0,1,50
AT0321,2025-03-06,TQ01,Unidade 1,Housekeeping,12,3,9,210
AT0322,2025-03-06,TQ02,Unidade 1,Housekeeping,40,14,26,1010
AT0323,2025-03-06,TQ03,Unidade 1,Housekeeping,13,5,8,366
AT0324,2025-03-06,TQ04,Unidade 1,Housekeeping,5,2,3,215
AT0325,2025-03-06,TQ05,Unidade 1,Housekeeping,5,2,3,310
AT0326,2025-03-07,TQ01,Unidade 1,Housekeeping,22,6,16,390
AT0327,2025-03-07,TQ02,Unidade 1,Housekeeping,35,12,23,880
AT0328,2025-03-07,TQ03,Unidade 1,Housekeeping,14,4,10,372
AT0329,2025-03-07,TQ04,Unidade 1,Housekeeping,8,3,5,340
AT0330,2025-03-07,TQ05,Unidade 1,Housekeeping,5,3,2,340
AT0331,2025-03-08,TQ01,Unidade 1,Housekeeping,30,9,21,540
AT0332,2025-03-08,TQ02,Unidade 1,Housekeeping,32,8,24,760
AT0333,2025-03-08,TQ03,Unidade 1,Housekeeping,20,6,14,536
AT0334,2025-03-08,TQ04,Unidade 1,Housekeeping,2,1,1,90
AT0335,2025-03-08,TQ05,Unidade 1,Housekeeping,0,0,0,0
AT0336,2025-03-09,TQ01,Unidade 1,Housekeeping,23,4,19,385
AT0337,2025-03-09,TQ02,Unidade 1,Housekeeping,30,6,24,690
AT0338,2025-03-09,TQ03,Unidade 1,Housekeeping,25,5,20,630
AT0339,2025-03-09,TQ04,Unidade 1,Housekeeping,6,1,5,230
AT0340,2025-03-09,TQ05,Unidade 1,Housekeeping,4,1,3,230
AT0341,2025-03-10,TQ01,Unidade 1,Housekeeping,13,5,8,245
AT0342,2025-03-10,TQ02,Unidade 1,Housekeeping,36,13,23,915
AT0343,2025-03-10,TQ03,Unidade 1,Housekeeping,19,7,12,530
AT0344,2025-03-10,TQ04,Unidade 1,Housekeeping,4,2,2,180
AT0345,2025-03-10,TQ05,Unidade 1,Housekeeping,1,0,1,50
AT0346,2025-03-11,TQ01,Unidade 1,Housekeeping,12,3,9,210
AT0347,2025-03-11,TQ02,Unidade 1,Housekeeping,29,6,23,670
AT0348,2025-03-11,TQ03,Unidade 1,Housekeeping,25,5,20,630
AT0349,2025-03-11,TQ04,Unidade 1,Housekeeping,2,0,2,70
AT0350,2025-03-11,TQ05,Unidade 1,Housekeeping,0,0,0,0
AT0351,2025-03-12,TQ01,Unidade 1,Housekeeping,20,5,15,350
AT0352,2025-03-12,TQ02,Unidade 1,Housekeeping,37,10,27,890
AT0353,2025-03-12,TQ03,Unidade 1,Housekeeping,9,2,7,230
AT0354,2025-03-12,TQ04,Unidade 1,Housekeeping,4,1,3,160
AT0355,2025-03-12,TQ05,Unidade 1,Housekeeping,3,1,2,180
